wbic	ice.year	doy	on.off										
2014700	2005	327	on										
2331600	2005	343	on										
2332400	2005	103	off										
968500	2005	106	off										
968800	2005	104	off										
2451900	2005	102	off										
146100	2005	94	off										
1835300	2005	107	off										
1630100	2005	108	off										
2017500	2005	103	off										
1842400	2005	105	off										
501200	2005	102	off										
2607100	2005	96	off										
805400	2005	96	off										
804600	2005	91	off										
805000	2005	94	off										
1864700	2005	102	off										
2313600	2005	102	off										
830700	2005	96	off										
2495100	2005	103	off										
2496300	2005	105	off										
1881900	2005	106	off										
2014700	2005	105	off										
2331600	2005	107	off										
2294900	2005	104	off										
2964000	2005	104	off										
2332400	2006	336	on										
968800	2006	330	on										
2451900	2006	336	on										
146100	2006	-55	on										
1835300	2006	340	on										
2017500	2006	335	on										
1842400	2006	340	on										
805000	2006	338	on										
2495100	2006	339	on										
1881900	2006	358	on										
2014700	2006	335	on										
2331600	2006	360	on										
2332400	2006	105	off										
968500	2006	105	off										
968800	2006	105	off										
2451900	2006	102	off										
146100	2006	91	off										
1835300	2006	106	off										
1630100	2006	108	off										
2017500	2006	103	off										
1842400	2006	104	off										
501200	2006	103	off										
2607100	2006	96	off										
805400	2006	84	off										
804600	2006	72	off										
805000	2006	74	off										
2313600	2006	105	off										
830700	2006	83	off										
2495100	2006	103	off										
1881900	2006	105	off										
2014700	2006	104	off										
2331600	2006	106	off										
2294900	2006	105	off										
2332400	2007	327	on										
2451900	2007	336	on										
1835300	2007	337	on										
2017500	2007	320	on										
1842400	2007	337	on										
805400	2007	361	on										
805400	2007	-20	on										
804600	2007	342	on										
804600	2007	-18	on										
805000	2007	335	on										
1881900	2007	337	on										
2014700	2007	321	on										
2331600	2007	344	on										
2332400	2007	102	off										
968800	2007	110	off										
2451900	2007	91	off										
1835300	2007	111	off										
2017500	2007	102	off										
1842400	2007	102	off										
501200	2007	93	off										
2607100	2007	87	off										
805400	2007	87	off										
804600	2007	86	off										
805000	2007	85	off										
830700	2007	86	off										
1881900	2007	106	off										
2014700	2007	108	off										
2331600	2007	113	off										
2332400	2008	330	on										
1835300	2008	337	on										
2017500	2008	321	on										
1842400	2008	335	on										
805400	2008	351	on										
804600	2008	351	on										
805000	2008	327	on										
1881900	2008	339	on										
2014700	2008	323	on										
2331600	2008	342	on										
2332400	2008	118	off										
2451900	2008	117	off										
1835300	2008	122	off										
2017500	2008	115	off										
1842400	2008	121	off										
501200	2008	115	off										
2607100	2008	107	off										
805400	2008	101	off										
804600	2008	98	off										
805000	2008	97	off										
1881900	2008	123	off										
2014700	2008	121	off										
2331600	2008	125	off										
2332400	2009	341	on										
1835300	2009	341	on										
2017500	2009	336	on										
1842400	2009	346	on										
805400	2009	364	on										
804600	2009	362	on										
805000	2009	345	on										
1881900	2009	346	on										
2014700	2009	336	on										
2331600	2009	352	on										
2332400	2009	110	off										
1835300	2009	110	off										
2017500	2009	110	off										
1842400	2009	110	off										
2607100	2009	94	off										
805400	2009	83	off										
804600	2009	84	off										
805000	2009	78	off										
1881900	2009	114	off										
2014700	2009	112	off										
2331600	2009	118	off										
2332400	2010	90	off										
1835300	2010	90	off										
2017500	2010	88	off										
1842400	2010	88	off										
2607100	2010	85	off										
805400	2010	86	off										
804600	2010	85	off										
805000	2010	86	off										
1881900	2010	91	off										
2014700	2010	90	off										
2331600	2010	93	off										
