WBICs	Kw_relative_0.25	Kw_relative_0.5	Kw_relative_0.75	Kw_relative_1	Kw_relative_1.25	Kw_relative_1.5	Kw_relative_2	Kw_relative_4
2486500	21.6252037308553	14.2613297218139	7.86612644636966	6.25291577237252	5.74419628719571	5.45525202317982	5.00334971411484	4.97216694263862
2486600	22.3362553071101	22.2487541682995	22.1811138264145	21.964074538069	21.618640771559	21.3449674609934	19.9141258308747	15.4295308914143
2486800	NA	NA	NA	NA	NA	NA	NA	NA
2487100	21.5497794723372	21.4278914117687	21.3143156963089	21.21156120413	21.0233700671338	20.8132749969844	20.5334009241811	18.1382268323838
2488100	18.5942442402447	6.99888932262075	5.56340704218322	5.56340291634	5.68947485251151	5.73023298726652	5.83741223975713	5.78627573347361
2488200	22.3560464946844	22.2054364404453	21.9163318338974	19.8658276992618	14.4246647658516	10.9777821875117	8.43967439838632	5.73495001218199
2488300	23.7440375883939	18.5781564249978	8.81098410533214	6.12421365775369	5.32577357519844	4.98304857239324	4.68611951577425	4.52974652818188
2488600	21.6752500784335	21.8298887924127	21.9271272218019	21.9569470997226	21.8944325317923	21.781462944923	21.4528801159167	20.0626420786497
2488700	21.5375962223977	21.6667045232383	21.7660663301785	21.8276158595218	21.8392167360464	21.7892436954627	21.5996652710882	19.7888234930349
2489000	21.7809628636443	21.5745850462214	16.0763198348397	10.6526497188576	8.21781405095917	7.23060582024778	6.47482017154649	5.24972158315724
2489100	21.9657862972678	21.8803576551724	21.5866417617296	21.0318050219399	18.4419486414962	14.8547277394444	12.3389516452739	9.88059081868885
2489200	21.9930174206825	21.907064942552	18.6576945062909	11.8192994333628	8.43978516262775	7.8886799450265	6.73637092320971	5.88796560389138
2489300	21.1423220289178	21.3085188961658	21.3980753955239	21.3091503201482	21.2155350537102	20.9410086060902	20.3286485799322	17.7637970813083
2489400	21.8134539177328	21.7772344132616	21.734843654099	21.6825735169897	21.3790497520989	20.9394128710342	17.0265182809519	10.0441955423388
2489700	22.465539893884	17.9274259714249	12.9641454729847	12.2381338425286	11.1557410313362	11.7586323014746	11.7380891244474	11.0484928939522
2489800	23.0125140940641	23.1462262614723	23.2502010143543	23.319000415457	23.3402791965117	23.332510768456	23.098591042923	20.8527173966234
2490400	23.3033486732723	23.227635984098	21.2675724187872	13.8652908283523	9.63143836976491	8.33917562800241	6.71498540453266	6.51786930129625
