observed	modeled
5.8975	7.0295
1.5824	-7.3299e-012
0.83479	-2.1195e-011
0.03667	-1.0993e-012
3.574	-3.2244e-011
1.0159	-1.1942e-011
3.0497	-1.1671e-011
2.351	1.0721e-011
6.2571	-2.2773e-011
3.209	-2.9241e-011
-2.369e-011	-2.0101e-011
3.2926	-2.1514e-011
3.4768	0.13076
2.3292	0.39332
2.2494	1.5353
1.183	-7.7832e-012
12.448	-1.0793e-011
6.1579	-1.5044e-011
4.4877	2.7574
1.0644	-1.5197e-011
14.111	0.72906
25.582	3.8917
3.4121	-8.4092e-012
86.78	170.87
86.78	154.17
122.48	227.94
130.97	144.64
169.69	143.71
241.45	225.85
192.56	157.09
199.69	151.11
199.3	125.15
221.83	157.07
232.7	155.96
141.8	105.79
145.39	127.93
148.06	105.31
44.664	12.458
126.62	92.745
77.141	115.58
109.3	97.912
238.4	224.68
193.5	177.57
239.89	276.31
139.68	150.11
186.95	160.73
65.002	63.413
174.29	194.51
83.596	173.57
202.03	231.72
197.72	255.92
123.28	141.25
35.848	94.791
234.75	273.09
122.99	172.56
113.93	124.45
96.108	110.42
162.13	232.73
183.88	199.54
168.98	190.88
4.3007	35.301
6.7428	5.6844e-012
2.0755	2.3657
103.47	89.543
61.832	56.888
-2.5647e-011	-3.7495e-011
53.986	71.989
54.291	112.06
132.48	132.72
311.97	292.51
313.77	232.89
21.989	1.4624
90.711	74.255
223.67	211.17
244.45	213.01
147.82	105.19
-7.5748e-012	14.616
-4.9078e-011	1.8015
135.16	183.84
233	231.63
230.83	277.99
2.8655	-6.4887e-011
213.96	211.26
241.42	244.44
5.4094	0.039359
46.375	46.162
214.32	195.31
284.12	292.01
126.48	128.34
158.23	186.19
315.59	350.56
244.5	270.11
12.716	5.3899
8.8243	24.158
96.02	88.331
223.13	230.15
259.93	274.4
240.09	213.19
76.492	69.912
11.143	1.3042
300.6	252.43
197.54	139.48
183.17	137.83
355.4	307.2
208.88	65.777
188.78	162.95
342.62	273.36
363.57	282.58
238.84	155.01
119.06	94.801
348.02	292.24
249.89	171.8
160.5	101.45
271.55	219
180.4	116.22
264.5	200.66
308.36	281.92
349.79	295.84
221.94	224.55
363.27	332.9
304.36	176.64
24.378	122.43
66.61	139.04
22.522	86.37
27.698	78.329
14.763	13.842
103.63	113.5
30.829	36.011
109.69	102.97
86.654	115.89
128.43	144.04
107.86	121.96
74.354	106.91
35.082	61.379
53.632	74.76
61.37	99.903
97.461	139.4
97.461	96.043
8.6584	21.16
88.333	107
77.533	96.59
80.348	104.99
27.103	64.64
78.458	152.84
2.022	1.2291
1.1839	2.4631e-013
0.53336	1.5482e-012
1.4957	0.36881
1.2667e-012	9.2367e-013
1.1235	1.2404e-012
0.39602	8.7968e-013
45.244	77.983
4.6576	-4.8952e-011
87.938	64.741
97.442	100.49
174.51	150.96
128.76	104.49
86.049	98.475
28.868	26.419
22.339	16.845
112.83	127.64
40.145	48.994
71.525	67.216
67.932	61.421
9.5008	3.3657
19.815	7.0771
81.791	113.44
130.9	147.06
94.524	161.55
126.37	173.46
91.288	117.66
11.203	37.248
87.324	120.46
3.8724	18.326
10.234	10.146
25.934	31.693
26.292	19.338
7.8552	2.1278
1.7633	8.5155
9.856	6.1041
14.573	15.027
3.3795	12.007
3.6068	0.36365
1.715	0.05063
1.1513	9.0493e-012
6.8604	11.941
16.455	15.611
0.11871	0.014126
3.5606	1.4714e-011
4.3162	6.649e-012
0.037408	1.8853e-012
12.667	13.042
29.526	25.132
4.2542	-9.0793e-012
32.58	26.418
33.661	75.241
19.714	39.883
15.94	29.695
4.1987	17.472
0.41687	1.7496
1.0674	-4.3129e-012
10.153	13.07
129.65	141.03
66.239	66.017
0.35203	12.922
0.19264	3.1592
130.94	148.81
90.851	102.75
80.581	74.501
167.61	121.83
27.919	1.3824
26.831	16.105
2.4224	0.073186
2.4774	0.064824
0.90326	-5.6403e-011
28.299	0.71916
30.755	0.79205
12.294	-5.996e-011
3.7088	3.5073
17.437	2.088
7.153	-6.1321e-011
21.264	0.0023887
4806.7	3601.7
3902.5	3111.1
3644.7	3476.2
2472.7	1983.6
4268.8	2826.9
4268.3	3597.9
2639.7	2168.6
2584.3	3176.4
4346	3497.9
2817.4	2401.5
3543.3	3316.6
4897.4	4802
2069.8	2185.8
3427.1	3012.5
4986.1	3829.8
2766	2632.4
5185.6	3949.1
2195.1	2982.9
2449	2934.7
2552.6	2482.5
4916.4	4038
4126.1	4006.4
4281.5	4650
3703	4202.6
2195.1	3155.7
1972.9	3058.7
4567.6	5297.5
4180	4430.3
1604	2490.2
619.41	1879.3
3534.3	4415.3
496.08	1160.1
5033.7	4449.6
3037.4	4040.5
986.1	2073.6
2740.9	3232.9
2781.1	4050.8
1674.3	3111
3557.5	3787
-7.7735e-009	-9.8532e-009
3871.8	3787.9
4994.1	3923
3897.3	4813.2
1949.5	2658.7
236.26	264.94
182.55	175.18
0.82536	24.568
304.96	273.04
246.57	216.35
229.09	202.46
27.342	20.476
86.422	65.127
181.64	199.16
299.32	293.89
212.88	227.33
77.139	39.295
68.014	43.875
85.937	66.289
50.658	8.1552
30.054	1.0492
29.014	7.928
4.9939	7.6123e-011
13.981	5.6745
46.868	30.421
58.918	27.987
23.596	8.3432e-011
2.2442	5.112e-011
37.405	39.48
58.246	34.403
67.916	17.312
29.536	1.4936
4.5305	5.6692e-011
28.907	14.501
37.044	7.4372
50.758	2.6362
13.716	6.6424e-011
39.144	31.415
72.306	16.869
45.219	4.5029e-011
22.873	0.28128
22.294	16.408
33.345	23.836
64.041	31.68
57.295	0.34017
22.054	7.5324e-011
31.53	0.51144
9.1372	6.9999e-011
1.5749	2.8459
35.186	5.9054
18.302	20.675
27.682	11.795
32.302	43.489
16.355	3.1312e-011
11.157	3.4717e-011
16.662	3.4292e-011
11.515	12.272
10.472	2.4746e-011
9.2174	1.7151e-011
4.4463	1.2199e-011
3.9843	2.2477e-011
7.6582	2.6965e-011
26.118	25.905
20.875	5.6205
1.6272	2.4e-011
9.4722	3.2423e-011
4.3468	1.6839e-011
17.951	8.4943
5.1352	2.9284e-011
48.619	56.063
32.639	29.241
20.947	29.757
4.4408	17.761
6.3662	17.864
12.327	8.4731
1.8273	2.8608e-011
6.8682	2.4598e-011
39.097	18.235
32.81	27.481
19.413	3.2173
6.2161	1.7005e-011
13.171	12.932
11.647	5.077
12.963	4.4332e-011
12.963	30.295
29.173	34.984
22.682	15.471
4.7211e-011	4.9567e-011
2.354	5.4572
20.019	33.316
21.385	16.662
29.549	24.244
0.43589	0.2663
2.7339	2.8665
16.394	11.822
22.124	23.432
3.2055	4.1782
