Lat	Lon
46.986687	-90.469803
47.000366	-90.467194
47.010796	-90.458069
47.025127	-90.454819
47.043373	-90.456764
47.066830	-90.448952
47.074650	-90.430702
47.077255	-90.417023
47.077255	-90.399429
47.074650	-90.392265
47.065529	-90.392914
47.038158	-90.402687
47.024475	-90.403992
47.011448	-90.413109
47.000000	-90.436966
46.997112	-90.453514
46.986687	-90.469803
NaN	NaN
46.905891	-90.638550
46.908497	-90.644417
46.918922	-90.654846
46.943031	-90.635300
46.944424	-90.625000
46.958668	-90.574051
46.968445	-90.529091
46.959972	-90.508240
46.954109	-90.507591
46.946289	-90.517357
46.932606	-90.524529
46.924789	-90.539520
46.911755	-90.538216
46.907196	-90.551895
46.920876	-90.562317
46.924137	-90.569489
46.915665	-90.585129
46.905891	-90.638550
NaN	NaN
46.706539	-92.015121
46.705063	-92.007736
46.686501	-91.973198
46.682598	-91.961693
46.680000	-91.942802
46.691536	-91.877495
46.692654	-91.857239
46.690235	-91.819839
46.694736	-91.789948
46.714573	-91.730034
46.732517	-91.654854
46.754028	-91.591728
46.756599	-91.564934
46.756470	-91.550766
46.756130	-91.513985
46.779980	-91.428139
46.793331	-91.408104
46.788563	-91.389030
46.792381	-91.369949
46.818130	-91.335617
46.827671	-91.312721
46.834347	-91.286964
46.832439	-91.266937
46.835304	-91.254539
46.861057	-91.231644
46.864872	-91.221153
46.866779	-91.207802
46.854382	-91.165825
46.859146	-91.135307
46.857239	-91.107643
46.865826	-91.095238
46.882996	-91.090469
46.883949	-91.078072
46.878223	-91.059952
46.892532	-91.036102
46.904938	-91.033241
46.915428	-91.001762
46.927830	-90.983643
46.941181	-90.973145
46.943089	-90.961700
46.931644	-90.928314
46.939274	-90.911140
46.957397	-90.881577
46.962166	-90.858688
46.956444	-90.835793
46.946903	-90.828163
46.936413	-90.807175
46.933548	-90.792862
46.892532	-90.749947
46.882996	-90.754715
46.873455	-90.770927
46.857239	-90.783325
46.826717	-90.795731
46.799057	-90.825294
46.786655	-90.834839
46.787609	-90.849144
46.782841	-90.858688
46.772346	-90.858688
46.762810	-90.865356
46.758041	-90.879669
46.753273	-90.884438
46.738007	-90.879669
46.698898	-90.851059
46.690315	-90.853912
46.668377	-90.885391
46.663609	-90.909241
46.656929	-90.914009
46.642620	-90.914009
46.627361	-90.921638
46.601604	-90.945488
46.587296	-90.941673
46.584251	-90.927185
46.582062	-90.916779
46.582710	-90.906998
46.599651	-90.876373
46.613335	-90.835327
46.619850	-90.824257
46.621807	-90.804703
46.627022	-90.787766
46.643307	-90.757141
46.649174	-90.752579
46.655689	-90.752579
46.659595	-90.760399
46.662857	-90.761047
46.670677	-90.746712
46.664162	-90.694595
46.628971	-90.636597
46.585320	-90.557762
46.583847	-90.549583
46.581432	-90.536194
46.586407	-90.526978
46.589668	-90.505730
46.572060	-90.468109
46.561855	-90.439331
46.566147	-90.417961
46.557377	-90.414413
46.554653	-90.408058
46.547642	-90.405418
46.544441	-90.399826
46.536373	-90.395393
46.536053	-90.392174
46.534317	-90.395027
46.532669	-90.393143
46.536800	-90.380325
46.535816	-90.377876
46.539127	-90.375450
46.541286	-90.368057
46.540485	-90.355911
46.537220	-90.350410
46.545811	-90.345215
46.549419	-90.346809
46.548008	-90.341743
46.549400	-90.339096
46.550907	-90.343468
46.552711	-90.343170
46.553558	-90.332176
46.551758	-90.332367
46.551369	-90.327240
46.546204	-90.326515
46.545109	-90.316048
46.540813	-90.316277
46.539421	-90.310677
46.528748	-90.311714
46.521690	-90.317596
46.516983	-90.316437
46.517872	-90.298103
46.518902	-90.294235
46.521755	-90.294106
46.518806	-90.283836
46.524540	-90.276955
46.519810	-90.271790
46.514877	-90.277626
46.515469	-90.274544
46.511745	-90.270248
46.504822	-90.272339
46.507927	-90.266212
46.504314	-90.265259
46.502876	-90.260330
46.504768	-90.256981
46.505619	-90.240837
46.509762	-90.230186
46.501698	-90.230019
46.503456	-90.220360
46.500000	-90.214691
46.490402	-90.211578
46.484764	-90.205330
46.476128	-90.201553
46.472336	-90.192886
46.468475	-90.192360
46.469067	-90.188828
46.463425	-90.193153
46.460228	-90.190575
46.456890	-90.177849
46.440601	-90.177689
46.439709	-90.169922
46.441948	-90.167473
46.423027	-90.160446
46.421543	-90.157410
46.413334	-90.158623
46.401348	-90.152763
46.399174	-90.146591
46.390308	-90.144180
46.381306	-90.132080
46.372089	-90.133865
46.357033	-90.117371
46.350704	-90.116570
46.346497	-90.123428
46.341866	-90.117981
46.337090	-90.120819
46.299801	-89.928993
46.155407	-89.180344
46.138554	-89.091499
46.097343	-88.990669
46.073662	-88.932411
46.040321	-88.850143
46.029625	-88.838844
46.026302	-88.818916
46.020630	-88.815872
46.023647	-88.796326
46.026897	-88.796112
46.030079	-88.800545
46.033756	-88.796059
46.028667	-88.788643
46.032700	-88.784462
46.031734	-88.778610
46.023029	-88.783882
46.015480	-88.779785
46.019012	-88.769585
46.025536	-88.770416
46.019585	-88.758492
46.027351	-88.739861
