observed	modeled
12.8	14.402
12.006	12.481
13.147	13.617
12.731	13.28
12.5	13.3
14.027	13.065
12.62	13.085
13	13.24
15.2	12.726
12.6	10.868
22.671	20.356
18.333	19.348
17.222	18.66
15.667	23.735
18.349	22.305
14.725	22.468
14.721	16.417
12	15.867
21	20.14
19.277	20.267
23.667	23.748
20.165	17.522
19.72	19.735
12.495	13.442
22.632	15.626
21.548	14.875
23.424	15.795
22.91	16.89
11.278	7.6519
12.42	12.442
12.7	12.867
12.1	9.8137
13.185	9.802
12.627	10.055
12.827	15.4
12.389	20.527
13.389	13.165
20.288	22.631
10.682	11.745
10.155	11.774
9.5527	7.6614
8.6445	7.6272
10.566	9.8212
10.556	10.195
8.7009	10.02
13.8	9.6533
10.129	8.9169
9.5665	9.0217
8.8716	7.0559
9.321	7.4626
9.4832	7.4787
15.928	8.7851
13.913	8.7589
16.547	8.9368
14.876	8.9714
15.556	9.9707
15.303	9.4735
12.835	6.4493
12.778	6.5723
6.7751	6.1901
14.828	6.6779
6.0977	5.9035
15.556	8.2736
16.411	7.778
18.323	6.7695
14.095	6.8043
14.238	6.779
15.366	7.7333
13.981	6.8897
13.008	9.0345
15.673	9.0204
13.407	9.0001
13.986	8.9099
16.468	8.9135
14.579	8.7204
15.213	8.001
12.86	8.1116
15.499	9.6568
7.0071	9.5318
16.793	9.7631
15.982	9.687
7.9736	5.3627
8.2779	5.6683
4.732	7.6574
5.0987	7.9397
5.4646	8.2566
5.3502	6.612
5.9044	7.3482
6.2696	7.6925
6.5448	7.785
6.6414	7.8483
8.9023	8.9666
9.2888	9.5799
9.2538	10.047
12.222	21.442
12.222	18.93
9.5106	10.676
9.7146	13.468
11.111	17.654
9.5515	10.205
9.4444	16.484
10.556	20.671
7.2222	13.914
8.7622	17.024
9.0543	14.755
8.8889	20.324
7.3478	11.256
9.3098	16.301
9.4444	18.68
5.2994	5.6302
10.576	17.288
11.722	16.087
12.944	19
22	17.671
20.78	23.291
15.399	16.707
14.667	18.456
17.004	18.866
12.943	13.931
18.333	15.324
18.167	17.377
22.859	18.817
22.5	20.326
20.644	22.44
17.889	22.116
19.667	21.897
21.571	22.05
16.1	16.184
20.3	20.621
13.333	12.818
15	13.408
16.111	14.102
11.01	12.907
14	13.043
15.667	16.855
18.5	19.228
14.033	13.546
14.667	15.316
15.556	16.284
17.556	17.49
11.667	10.349
14.778	11.597
9.9958	8.7225
15.732	15.471
19.5	19.316
19.889	20.944
8.8889	11.129
16.333	15.512
19.167	19.646
20	20.171
9.5556	12.034
16.944	17.743
14.167	11.436
16.667	14.702
16.944	17.852
9.0495	8.6138
11.944	14.121
14.278	15.901
15.556	17.169
11.167	23.474
7.7778	20.512
11.944	16.909
12.778	18.408
10.778	21.047
12.833	21.545
17.667	21.413
7.2069	8.3871
8.1015	8.4918
7.3827	8.4046
7.7049	8.2566
6.7672	8.4748
6.2935	6.9238
6.6154	7.2918
6.7694	7.5395
6.9669	7.6287
6.8449	7.2108
7.027	7.4131
6.9194	7.1899
8.0406	8.8278
7.4541	7.7585
9.7281	8.2576
7.0724	8.5999
12.778	19.852
14.444	18.096
10	14.401
14.444	20.777
9.4444	11.71
12.778	20.846
10	11.422
12.778	16.016
12.222	11.345
12.778	16.455
10	22.189
8.3333	17.134
12.449	21.483
10	23.462
10.846	13.705
10.556	16.98
9.1667	20.913
10.389	21.927
9.0331	13.442
8.8889	18.22
9.6667	20.881
15	17.047
11.785	18.314
11.667	13.923
11.556	17.164
11.845	21.261
7.2139	16.669
20.4	18.549
13.508	13.776
15.967	13.895
19.5	18.441
20.7	20.481
10.743	11.638
17.6	16.721
9.3405	9.7324
19.368	17.241
18.1	18.421
18.5	24.149
22.6	23.092
13.217	12.132
19.6	22.37
22.3	22.7
21.3	22.706
14.073	14.568
17.4	20.741
14.9	15.868
21.259	22.214
12.5	13.559
18.738	18.689
14.105	12.205
12.393	14.919
23.157	19.738
19.444	19.517
21.905	22.719
20	21.178
21.597	20.761
16.667	20.847
13.011	13.959
17.222	20.62
20	23.753
11.667	12.081
16.111	15.142
20	20.494
20	19.394
14.473	14.323
26.111	24.266
21.111	21.677
6.8463	9.0925
21.667	21.216
21.667	22.104
15.556	15.78
18.333	18.827
22.178	21.701
22.785	22.54
14.351	14.828
20	21.211
19.7	25.831
22.778	24.862
22.729	24.242
21.544	20.214
17.691	19.69
21.667	22.179
21.667	24.33
11.1	13.131
21.041	21.98
17.173	18.672
19.444	24.782
21.111	23.524
23.109	22.595
18.924	18.626
19.556	19.896
17.167	17.941
22.171	21.457
11.411	12.136
18.889	13.782
19.564	13.576
17.222	14.415
10.713	8.1642
8.4217	8.4919
14.651	8.4499
9.6651	9.3424
9.5262	10.114
11.146	9.8307
12.562	10.284
10	11.006
17.563	10.771
11.486	9.5177
10.292	9.295
10	9.6628
13.117	9.8829
11.837	10.003
9.0024	8.7591
9.4444	8.9919
11.354	9.6061
9.4446	10.049
9.4444	10.62
12.891	11.048
10.11	10.755
10	10.648
15.875	9.8135
9.4444	11.188
17.317	9.0728
19.182	9.8708
6.2668	10.789
9.3076	8.5601
4.7469	7.5549
5.8799	8.2449
6.0006	8.5293
6.6312	8.503
13.627	9.0401
9.5236	10.816
9.4606	11.009
10.556	11.195
8.7606	10.298
10.251	10.77
9.6122	10.638
10.297	10.874
10.185	10.954
9.7711	12.271
10.392	12.522
10.104	12.695
10.286	12.933
9.4292	11.223
11.388	11.897
11.493	13.459
10.746	12.668
16.071	16.686
9.3297	10.51
8.973	10.746
11.423	10.756
9.9637	11.659
9.5344	11.101
9.7414	11.326
7.2122	8.8879
11.463	11.259
11.412	11.188
9.0726	8.6675
9.9722	9.8242
11.038	14.058
10.513	11.845
9.1778	10.566
9.3775	10.901
10.537	11.321
10.14	11.497
10.013	11.667
8.4428	10.814
8.301	11.766
9.1474	13.272
21.002	21.643
12.778	13.603
17.816	19.953
14.602	14.62
13.375	14.742
15	16.122
14.444	19.805
16.111	20.319
11.751	11.463
15.556	19.322
16.667	22.385
8.0626	9.4486
15	16.068
16.667	20.753
15	14.348
17.222	18.592
16.111	22.464
15.496	16.908
16.667	21.072
12.167	16.477
15.556	22.688
15.556	23.199
14.383	16.673
14.778	18.707
12.06	13.288
13.389	15.118
13.667	19.771
13.667	22.143
15.167	15.653
15.778	17.334
17.556	20.294
15.778	19.346
17.333	22.668
18.111	22.387
12.37	12.003
18.187	19.126
16.189	16.484
18.666	20.17
12.291	16.555
16.3	20.693
16.7	22.631
17.556	17.61
15.556	12.747
19.167	14.806
13.363	12.949
14	13.693
18.056	15.77
19.75	16.992
12.681	13.473
20.278	20.627
20.622	20.425
18.138	16.911
20.556	19.782
14.889	15.122
14.684	15.987
19.199	17.867
15.667	11.879
19.667	13.464
22.556	15.964
18.365	17.631
16.278	17.65
18.167	18.779
15	16.539
9.673	15.709
10.938	13.566
10.481	10.734
11.129	11.666
7.547	11.61
7.4757	11.137
7.1836	12.276
8.5481	10.29
8.7453	11.061
8.176	9.8953
8.1837	10.517
6.5562	9.9311
7.1005	10.138
6.637	9.0395
7.4106	9.6995
7.8567	10.44
7.7118	11.055
8.4036	11.288
9.3686	10.878
9.1216	10.628
8.765	10.966
9.1285	11.03
9.0804	11.479
9.0804	11.859
9.0976	11.5
8.7587	11.981
8.513	12.306
6.8858	7.4033
9.0556	7.4538
8.245	10.217
7.4441	9.3794
8.3157	9.268
7.4696	9.3855
7.9148	9.7629
7.7918	10.055
8.0152	10.516
8.1954	10.991
7.7846	11.309
8.2132	11.398
7.2902	10.316
7.919	11.381
8.4322	11.784
8.7588	13.04
7.884	9.4795
7.9949	9.9566
8.3969	10.564
8.164	11.336
8.1913	12.005
8.3014	11.96
8.4761	13.747
6.826	8.1741
8.2641	9.3907
9.859	12.193
8.1039	10.182
9.1583	10.821
9.4151	10.526
9.2496	10.947
8.8459	11.304
8.7829	11.024
6.2457	7.3742
6.1267	8.4105
7.2553	8.595
6.8743	9.0615
6.6137	9.3237
6.6137	10
7.0935	10.535
7.2741	10.767
7.2167	10.921
7.6433	11.413
7.7546	12.794
5.502	8.3209
7.2475	9.6966
6.7018	9.9117
6.8797	10.31
6.7929	10.735
7.5179	10.744
7.2732	11.287
7.4766	11.366
7.4001	11.613
7.7071	9.357
8.1558	10.908
8.6108	10.987
8.9518	11.313
9.6084	12.067
10.146	12.562
9.8868	12.558
10.585	12.793
8.2409	9.0183
11.095	8.1183
10.613	12.265
10.641	12.445
10.762	12.256
11.083	12.632
10.94	13.307
7.2347	9.034
7.6516	9.4137
7.5139	10.098
7.6133	10.518
7.9166	11.188
7.9709	11.218
20.889	21.458
18.356	18.011
21.063	20.516
14.152	12.071
15.501	12.383
10	12.048
9.6976	11.316
11.829	11.788
9.4212	8.5239
10.234	11.94
12.257	11.634
11.148	11.946
10.557	12.11
10.481	12.261
12.462	13.503
11.459	12.433
10.754	12.438
11.57	12.246
10.876	12.511
8.2419	10.136
8.2109	10.288
8.572	10.607
9.1868	10.948
9.2107	11.661
15.283	14.869
18.333	18.157
18.333	18.932
14.444	21.57
15.556	21.784
22.076	22.562
15.556	18.399
7.2222	10.85
12.778	14.586
15.556	15.902
17.778	22.196
20	22.958
17.778	20.614
10	10.889
11.111	12.305
12.222	13.048
16.079	16.282
18.333	19.849
19.374	19.922
20	21.078
21.111	22.327
20.556	20.406
20.556	21.513
14.771	15.675
15.556	15.514
16.111	15.812
17.222	17.899
18.333	20.799
13.333	13.671
15.44	13.934
17.778	20.618
18.889	21.16
20.556	22.21
20	23.004
21.111	19.993
21.111	21.149
9.238	11.219
12.222	12.804
14.972	16.438
15.171	16.886
19.444	20.155
22.222	22.147
22.778	22.788
14.019	16.219
17.389	17.281
19	19.566
21.111	20.459
18.045	17.575
10.794	13.263
12.889	14.166
13.389	15.665
18	17.765
19	20.736
21.033	21.703
20.556	22.991
21.389	22.898
19.5	19.755
15.733	15.009
13.167	13.544
14.667	15.119
17	17.794
17.556	19.075
22.5	24.711
13.048	12.467
13.138	14.94
17.667	19.54
20.5	21.375
21.278	20.255
22.111	20.686
23.5	21.764
19.532	19.599
10.89	11.388
18.389	18.246
19.556	19.972
20.778	21.925
18.028	16.547
12.667	12.542
15.079	15.459
15.889	15.69
18.389	17.947
19.792	19.842
18.696	17.786
19.389	18.244
12.323	10.788
14.056	11.624
17.5	12.683
18.667	17.768
20.056	19.013
22.556	21.037
23.278	23.228
21.769	20.393
21.889	21.535
16.944	17.304
17.556	18.351
17.167	18.938
17.937	20.114
17	21.942
18	22.997
19.056	23.059
14.5	14.26
21	20.765
8.4793	10.254
7.2496	12.662
8.0798	13.053
7.7146	12.829
8.4763	11.478
9.0548	11.661
8.8248	12.121
10.953	12.758
9.1908	12.725
6.7545	11.017
7.8272	11.104
7.4745	11.124
8.3735	11.269
15.889	18.433
8.2222	11.768
10.418	8.3761
11.142	11.104
10.48	11.404
10.422	11.477
8.8829	8.646
8.0448	9.3946
8.3075	9.5415
8.52	9.7727
8.7704	9.959
16.251	17.024
8.7762	10.115
14.444	15.765
16.667	15.343
20	19.643
17.782	18.621
12.222	8.6968
15.556	14.586
22.222	19.769
16	15.158
20	19.187
20	20.695
