WBICs	RT_relative_0.3	RT_relative_0.4	RT_relative_0.5	RT_relative_0.6	RT_relative_0.7	RT_relative_0.8	RT_relative_0.9	RT_relative_1	RT_relative_1.1	RT_relative_1.2	RT_relative_1.3	RT_relative_1.4	RT_relative_1.5	RT_relative_1.6	RT_relative_1.7
1591000	19.5113617239932	19.473672916457	19.4396348567428	19.4016672232361	19.3671096228266	19.3355089617152	19.2783861521172	19.2515455469621	19.2035745527065	19.158921965458	19.1192131631599	19.04511658545	19.0005244131826	18.9654003471901	18.8979558237968
1591100	9.38755147574487	8.41140524733848	7.02326728657337	6.74645097331295	6.63608397516767	6.39503100473155	7.38809032063974	6.99662013674843	7.14495525394768	6.04863110079606	5.94501045515653	6.03343339448676	6.60325096901506	5.92361465308965	5.82416991797537
1592000	8.78434233209044	8.33392590172109	7.95315191869275	7.61608053100479	7.33168924569642	7.21205654615172	7.03721669340804	6.8936873645791	6.67716831869399	6.56031297319339	6.48285152641882	6.3645199842485	6.28976381769484	6.21026204878314	6.14553856662795
1592400	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456	6.78990057320456
1592500	18.6466023361468	18.6308497810123	18.6156324525314	18.597431717352	18.5816704558565	18.5658340233173	18.5505555298869	18.5354022149614	18.5197034464649	18.5045356999155	18.4897804587742	18.4732490530775	18.4583187610851	18.4432715547392	18.4281219912719
1592700	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672	19.624013342672
1593100	7.70342183814825	7.47161831357932	7.06792083247729	6.66359818176611	6.88247249177904	6.68812235969998	6.00786457080309	6.11192086921971	5.98228907421392	5.61464946677306	5.57034762542784	6.67936861035719	5.31920265998091	5.26858856440653	6.01188100953823
1593200	20.00592095437	19.981320022898	19.9564789695247	19.9205706139792	19.8954755893502	19.8701759422216	19.8483767152679	19.8235098314747	19.7927511554631	19.7602172769903	19.7346374277137	19.7085221713208	19.6828046671953	19.6396740043841	19.6136243676262
1593400	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072	19.8354360059072
1593800	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838	18.7465417522838
1594000	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992	20.3833984906992
1595300	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659	19.64531013659
1595600	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541	13.6270877227541
1595800	7.82798501362897	7.57873357791936	7.29290062773507	7.01676109618171	6.87385455663505	6.75090178333959	6.62889987033599	6.52060774360556	6.40841238486057	6.30347765123782	6.17873126415714	6.10046540651615	6.01773209801322	5.9502519845704	5.91852898471896
1596300	7.80085644138631	7.54787963914621	7.84172737637627	6.99008351498274	6.80840671660133	7.02863426711247	6.43898754240936	6.22876236992647	6.12256004805635	6.59981799983359	6.04356463593425	5.77914632638095	5.70540056038167	5.63770623976954	5.60803135223028
1596600	13.5236067888283	11.4200114799784	10.6300279092296	9.72621453698141	9.04031560864135	8.49983868752397	8.12988136993878	7.81336697086255	7.72505144809843	7.55859954168553	7.45958692928486	7.31707284791124	7.22806518282015	7.1775054694293	7.11996804873023
1596900	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553	11.5677133334553
1597000	10.4678167658962	9.41999925312525	10.2037766834006	8.46747787031394	9.33164921875063	7.67114508063305	7.4263886697376	7.15727221657833	6.99113974231194	6.72113598471714	6.61300759085471	6.64659496782557	6.48575405997344	6.42955243644267	6.36829304880698
1597600	16.6693357180771	14.9627638299891	14.7427786064405	12.4358780977579	11.0501289522007	10.7897032574084	10.1821114197463	9.75632247190548	9.62213888402759	8.91040858606907	9.08988595009965	8.87644063356451	8.73824837578496	8.50155314329943	7.85803170096525
1597800	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285	18.8856742490285
1598000	13.1290127621175	12.1525766376963	10.7586350294573	10.6115466343869	9.59001439685219	9.04401260430881	8.72016426198723	8.15308447461103	8.04836195421017	7.84525354360689	7.75219074625101	7.61283195692861	7.56733939809933	7.45163713216333	7.31015225065331
1598900	11.4878924952562	10.1724856439897	9.50882276272186	8.95319117728793	8.60928440404404	8.30718746107411	8.03751909011526	7.78095788145357	7.58874061513034	7.46871952833006	7.32151892777591	7.16475306385198	7.00418269300982	6.91291809016472	6.8105391193244
159900	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243	21.7044640748243
1599400	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411	19.6091717814411
