WBICs	hc_relative_0.3	hc_relative_0.4	hc_relative_0.5	hc_relative_0.6	hc_relative_0.7	hc_relative_0.8	hc_relative_0.9	hc_relative_1	hc_relative_1.1	hc_relative_1.2	hc_relative_1.3	hc_relative_1.4	hc_relative_1.5	hc_relative_1.6	hc_relative_1.7
1820900	21.5971674835898	21.5971674835898	21.5971674835898	21.5971674835898	21.5971674835898	21.5971674835898	21.5971674835898	21.5915649706524	21.5769394117638	21.5769394117638	21.5769394117638	21.5769394117397	21.5769394117397	21.5769394117397	21.5729517945589
182100	22.5065690616903	22.5025272430389	22.4975539471181	22.4957159784449	22.4903557379657	22.4842176433929	22.5020958479399	22.4973482379795	22.4938569650118	22.4933346132934	22.488363577527	22.4866907762418	22.4649966499319	22.4613198379011	22.4613198344806
182200	20.8745014233895	20.8728343509612	20.8725256124854	20.8721785166436	20.8702480345708	20.8652783093111	20.863471404476	20.8710727058936	20.8681689892988	20.8636786197345	20.8615331972997	20.8612744678805	20.8611472202901	20.8611472202901	20.8611472202901
182300	22.0865325641008	22.0908618879938	22.0908620310981	22.0908620310981	22.0908620281298	22.0977927470038	22.0997257178181	22.1013387971886	22.086532852209	22.090677525069	22.0802451420453	22.0851841774332	22.0841624596939	22.0841624596939	22.0841624596939
1823500	23.4790297309587	23.4790297309587	23.4790297309587	23.4790297309587	23.4669078683005	23.4669078683005	23.4669078709673	23.4669078709673	23.4669078709673	23.4622007391652	23.4622007391652	23.4622007403191	23.4622007422235	23.4622007448303	23.4555157114497
182400	23.1172461795441	23.0833785240376	23.0834258144035	23.0554627544287	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567	23.0554634167567
1825100	22.9319497689239	22.866572767706	22.8665730831736	22.8665730831736	22.8475942338605	22.8475945110818	22.847591039889	22.847591039889	22.8176423497367	22.8176278748668	22.8176278748668	22.8188149415511	22.8057431114284	22.8057431114284	22.7874396319113
1827300	23.2533193761217	23.2533193765912	23.2533193765912	23.2533193765912	23.2533193765912	23.2533193765912	23.2533193769836	23.2464147610872	23.2464147801322	23.2464147801322	23.2464147801322	23.2464147801322	23.2464147801322	23.2464147801322	23.2464147801322
182900	19.2921460124967	19.3432907467798	19.3399921982811	19.3600163716009	19.3252402593523	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175	19.3327527982175
183000	21.6342467722059	21.6477174896798	21.5869735124347	21.1717093439802	21.4583481154621	21.0291292018532	20.7684400511531	20.3884430593492	20.2071831964894	20.0747456333238	20.2657012919734	20.1341152270706	20.1318285140598	20.1318285140598	20.1318285140598
