WBIC	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
WBIC_265700	18.8315143655771	18.7169686430736	18.5420594451943	19.2857574620925	19.2570293322375	18.4416411450077	18.7360692284121	19.3012119137557	18.5232024739735	18.4219838211689	18.7880185219187	17.6890219797175	18.5687995315102	17.7146288768841	17.3871505579543	18.5696185793873	18.5765006415573	18.4501293700412	18.6179342103706	18.7446586958311	18.159402406907	18.0882254177871	18.2427754341127	18.6693174929836	18.2063684649631	17.7016955471061	19.3461327393618	18.6251508404707	18.9788405737726	18.7047428440525	17.1703493956014	18.8955170382028	18.4510043050417
WBIC_264900	18.6779355362271	18.5401758261929	18.3547767723689	19.0347302163542	19.1312406419529	18.3320754115776	18.5737061690101	19.1710421757589	18.3835203357652	18.3189196520807	18.6015691467787	17.597034878702	18.3514292931698	17.5050263752538	17.2358282026912	18.5300492142691	18.3670990262839	18.3438322970082	18.5082635484125	18.5015921579958	18.0354123417642	17.9970209683399	18.0432039134438	18.5592992753073	18.0866552644989	17.5863196460575	19.1223389033595	18.4967064806559	18.8210059266369	18.654657399014	17.0960250235254	18.7893877114064	18.3701902450996
WBIC_264800	17.3701767342925	17.3460173772095	17.299556695296	17.6127303217386	17.7980472732006	17.1638318731408	17.5181821083733	18.016349474976	17.2491037275204	17.4209568350364	17.367122294109	16.8203457800494	17.2715310917361	16.5344698205411	16.2384416365448	17.6612689934234	17.243652517157	17.1105008633464	17.4672413064329	17.5208537722613	17.0095572109742	17.3059868622077	16.9965780466463	17.4665882439048	17.0752066758516	16.7874168217088	18.2011984158184	17.5212351704176	17.7745031453864	17.749835415276	16.4213830836039	17.8549049592073	17.2982035583003
WBIC_1630100	11.9982883802456	12.0804808426031	12.0015894029581	12.8364171063182	12.7044836886644	12.0692638911755	13.0307213673575	12.8878232068111	12.8022158337236	12.7523223660077	12.3144033593075	12.738988773832	12.5155138670742	12.4480770516422	11.8172875440604	12.9190179404856	12.2685118544256	11.9414831197111	12.7783749082381	12.7208426154888	12.1969887908425	12.4666168351477	12.4381605573417	12.913970990329	12.887858497733	12.7003095638203	13.4838145210049	12.9922823006189	13.463311617459	12.7289801192327	12.5522228691872	13.6176059496451	12.7237658185707
WBIC_262400	14.4490796076273	14.3095838263098	14.2168775448007	14.5850615632271	14.7003245617211	14.7635744161337	14.7654825402973	15.2284634104567	14.4842897964963	14.5847042030947	14.5641769974534	14.273590903102	14.340438179272	13.9511164413677	13.8075572809439	15.0975273902409	14.4959975508524	14.1727274909946	14.7779254759507	14.934186519182	14.3035294602455	14.9717585840693	14.2837886477867	14.615804723749	14.339751979939	14.2490952644357	15.4241781805309	14.9630459240321	15.5283771956295	15.0755638224469	14.1885517821924	15.100393132954	14.7760863477359
WBIC_2900200	12.1923550555064	11.9544900405764	12.0914496358587	12.3101048876785	12.0810286049579	12.3439346033362	12.480815507458	13.310938243381	12.897428774968	12.2247879683746	11.7641672320849	12.5014635420639	11.9567871204773	12.3496939036341	11.0092671409353	11.9075899740247	12.1159571094528	11.5532866033827	12.3947429646786	11.8273576811604	11.5817422002555	11.9864404355805	13.262849968669	12.7967792505722	11.8244756282011	12.0314053051066	13.0049542390302	12.1326333328406	13.3111442170783	12.2781465439933	12.231462588084	12.9332843194682	12.3067686466083
WBIC_396500	13.6351998739529	13.5303580021501	13.6287160179682	14.6073745624725	14.3934763268756	13.7911189329271	14.9819052773484	14.9233074822513	14.0276414010979	13.8029871778064	14.1836884677058	14.9146585881385	13.6884268197375	14.3147701217027	12.6940518978742	14.3374805772362	13.5338661782613	13.0257180894455	13.5583152217534	13.6646034747208	13.0080976082961	13.7098563425871	13.6253636586564	14.269763744011	14.2981992457069	14.2102274386419	15.1349115840151	14.3121813584757	14.5112972631707	14.4702783984617	14.0007949091179	14.5196055249382	13.9210849394843
WBIC_706000	12.5454029299135	12.7837634757326	12.9146703213491	12.8279925274045	13.1382212080759	12.7669227750495	13.0040882352208	13.2066766929582	13.1647119638193	13.0974589038266	12.9959390106475	12.6824297258348	13.092051855531	12.5626960732871	12.2126153698121	12.9889971554192	12.8368745491548	12.5336883258011	12.8909706490151	13.1064307757439	12.6475549563795	12.9813442322045	12.6414280102377	13.0817033500386	13.2448761393735	12.6523917685002	13.7225793408178	12.993603202412	13.7966393289966	12.9054668986951	12.5043341276275	13.4561079251585	13.0270918874526
WBIC_447000	17.0212207274487	17.0054218667268	17.1136588429272	17.3634437784076	17.6929416272258	16.9800783851204	17.3323871952097	17.7626069309025	17.3527681977753	17.2269366714007	17.1751918774821	16.5823995547127	17.2616369138274	16.3397077890404	15.9843684822232	17.6093884300583	17.0631274986006	17.0458174450497	17.1115944745483	17.4788230629698	16.8218195294842	17.3278753362665	16.5656382908753	17.235274501339	16.8874738457588	16.4399066996983	18.2687114334386	17.3635929292531	17.8418686312644	17.5251068903621	16.5501443841125	17.7633504526997	17.1273073179613
WBIC_262300	17.1228560220086	17.1466381009847	17.0487987872577	17.3972040600143	17.57378339401	16.9163268100257	17.323463070392	17.7621685363766	16.9705975234467	17.1813543460253	17.1856961141376	16.5530505205116	16.9842612204859	16.3116055022937	16.041372719541	17.4008306472684	16.9702982984418	16.9051110413478	17.2172854967615	17.2857526177448	16.7986231703127	17.1257771285169	16.7501455976124	17.206727709333	16.9013273353943	16.4863760258803	17.9102164210744	17.3366895022325	17.6068238370624	17.5299210900409	16.1750321658372	17.6718930655324	17.1211640080994
