WBICs	hc_0.5	hc_2.66666666666667	hc_4.83333333333333	hc_7	hc_9.16666666666667	hc_11.3333333333333	hc_13.5	hc_15.6666666666667	hc_17.8333333333333	hc_20
10000	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738
100000	20.7122338786525	20.7121957732757	20.7121957732752	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529
1000000	19.9373821513209	19.8181316509585	19.7906184813104	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455
1000100	20.501477673059	20.4203557717357	20.3808744808534	20.3712327703478	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227
1000400	19.7069784287029	19.7416799352125	19.742768296372	19.7129614637681	19.7106553441623	19.6894256546111	19.6729730295022	19.7143000771833	19.7203188657558	19.7203188657558
1000700	16.5197207914975	16.7865423932339	15.4346395948558	14.8232955886119	14.5175893930731	13.1427251891593	12.3176554816355	11.3537437824838	11.3537437824838	11.3537437824838
1000800	22.0643223595122	22.0593179801155	22.0498313089508	22.0443424270392	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238
1000900	20.1716363613821	20.1407489872739	20.109056053654	20.0110027747146	19.8641106778344	19.846981153321	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625
1001000	5.50984020910767	5.4440195723926	5.3828016358984	5.11697509759703	4.78069147541102	4.73362221261432	4.73974355138288	4.72894087450624	4.72894087450624	4.72894087450624
1001300	5.22625648560388	5.09143765799446	5.02702598678639	4.95156750044945	4.9091309984794	4.92184214287437	4.89360665519594	4.88877247881899	4.88877247881899	4.88877247881899
1001400	14.4121105361595	12.9562735237693	12.5778283662118	12.0004175063414	11.6837370381548	11.7074154665496	11.4787587587718	11.4426368055643	11.4426368055643	11.4426368055643
1002300	20.3493623096401	20.322327701844	20.2654341918327	20.2291333877295	20.2088723214472	20.1736216347103	20.1688135845343	20.1688135845343	20.1688135845343	20.1688135845343
1002400	20.2658240524568	20.2301331939866	20.210033199394	20.1473474211193	20.1100503586321	20.1391844361627	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152
1003000	20.6124485083129	20.6124485083129	20.6124485083129	20.6007028026459	20.6007339616953	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958
1003100	19.8664768755497	19.8664768755497	19.8633881037056	19.8535898843065	19.8341563348001	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065
1004500	20.5679672891341	20.5543590755631	20.5388029806293	20.5251276724399	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019
1004600	6.51867978254306	6.55987944630377	6.35100481407416	6.24627921077454	6.13436542168334	6.06515051271899	6.04650689481481	6.00690825787965	5.94374228854441	5.99345875895924
1005200	19.3890801665268	19.3478464094986	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834
1005400	14.8432818270711	13.3584962058036	13.1908613160695	12.5263280247874	11.8961906425925	11.3329306361818	10.2463657244473	10.0540115355096	10.0540115355096	10.0540115355096
1005600	9.98653527947871	8.93758910352294	8.98587569622905	8.11490968335368	8.06184843858401	7.94441496191345	7.83182863595002	7.83690568715894	7.83690568715894	7.83690568715894
1005700	14.4965140090156	14.1691305535216	12.6338678504611	11.9847970398056	11.2882092363632	11.3663269225919	10.995805922492	11.0985879990281	11.0985879990281	11.0985879990281
1005800	19.0906750275998	18.9201291273026	18.7829954386258	17.9802001637924	17.8105204879083	17.7131528279755	17.6489908154349	17.5545043991607	17.5986747323098	17.5986747323098
1005900	6.40556951371214	5.99336376741111	5.92007121144415	5.92007121144415	5.92007121144415	5.92007121144415	5.92007121144415	5.92007121144415	5.92007121144415	5.92007121144415
1006400	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835	16.6665801150835
1006500	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258	23.1584504412258
1007200	20.2580396206288	20.0954699102093	19.7966476947769	19.8839115778677	19.8839115778677	19.8839115778677	19.8839115778677	19.8839115778677	19.8839115778677	19.8839115778677
1007500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1008200	20.3752537177713	20.3438992286879	20.3895548823822	20.3501333947666	20.3447348731279	20.3532032602746	20.3532032602746	20.3532032602746	20.3532032602746	20.3532032602746
1008700	19.6853770251887	19.2988432908274	19.0433390495581	18.7432485973497	18.388543262522	18.3912252266664	18.3912252266664	18.3912252266664	18.3912252266664	18.3912252266664
1008900	20.9803437867362	20.893111933404	20.8593405829275	20.7973638240097	20.8265622942407	20.8265622942407	20.8265622942407	20.8265622942407	20.8265622942407	20.8265622942407
1009100	20.348853362389	20.3270347225119	20.169560453945	20.127411843012	19.944038178252	19.8553235366763	19.8535183846934	19.8196645383026	19.8196645383026	19.8196645383026
1009400	6.17062279544709	5.91468893052101	5.70704945177571	5.58677707264277	5.59599262057496	5.56315961776547	5.54889532851139	5.54889532851139	5.54889532851139	5.54889532851139
1009500	12.7697455945706	10.8027034436456	10.6688879665008	10.3072603924537	10.0761306162018	10.0761306162018	10.0761306162018	10.0761306162018	10.0761306162018	10.0761306162018
1009900	5.65462525276336	5.29788942166016	5.14505593193489	5.23331181071573	5.23331181071573	5.23331181071573	5.23331181071573	5.23331181071573	5.23331181071573	5.23331181071573
1010100	12.3054953092746	11.4129718186885	11.0241238536679	10.0895969758528	10.0895969758528	10.0895969758528	10.0895969758528	10.0895969758528	10.0895969758528	10.0895969758528
1010200	20.8237969005193	20.8238851673617	20.8007382947904	20.8007382947904	20.8007382947904	20.8007382947904	20.8007382947904	20.8007382947904	20.8007382947904	20.8007382947904
1010600	20.1778358816272	20.0564612173348	20.0325360439765	20.0325360439765	20.0325360439765	20.0325360439765	20.0325360439765	20.0325360439765	20.0325360439765	20.0325360439765
1010800	20.1233522321413	20.0666566523872	19.9729514411009	19.9637258898754	19.9637258898754	19.9637258898754	19.9637258898754	19.9637258898754	19.9637258898754	19.9637258898754
1012000	22.8291021645384	22.8198430273912	22.8162681672811	22.8119413503379	22.8027396281858	22.8326877431093	22.8059478509996	22.8038139860758	22.8038139860758	22.8038139860758
1012100	20.08396510113	19.9886259626434	19.9020996953104	19.9209914530297	19.9256812110106	19.8186857395481	19.8561461183035	19.7576425213765	19.8275002019943	19.8275002019943
101300	21.8277469635632	21.8212621263662	21.8037082740058	21.7844997608199	21.7844997608199	21.7844997608199	21.7844997608199	21.7844997608199	21.7844997608199	21.7844997608199
1013000	20.4243301118906	20.4243301118906	20.4243299646835	20.4107639033159	20.404770134845	20.388458858924	20.388458858924	20.388458858924	20.388458858924	20.388458858924
1013200	5.9781939479293	5.63123777970337	5.37627833817091	5.34801286693071	5.28740395671121	5.28740395671121	5.28740395671121	5.28740395671121	5.28740395671121	5.28740395671121
1013500	8.38087380857681	7.4565231483106	7.09592314455128	7.0195263441831	7.0195263441831	7.0195263441831	7.0195263441831	7.0195263441831	7.0195263441831	7.0195263441831
1013800	19.7642676603293	19.7313896662595	19.3729000956006	19.2621390179425	19.1234538987423	19.0921015048041	18.7947621921147	18.7204396529075	18.5913749363837	18.5360593945498
1014000	6.63264521986346	5.96306958789892	5.67410509456284	5.6048251913378	5.56410604234469	5.67026251794832	5.67026251794832	5.67026251794832	5.67026251794832	5.67026251794832
1014300	19.7302857154303	19.7292681599064	19.7238991332292	19.7063464708237	19.709182689097	19.7046789922018	19.6892468039333	19.6777947533355	19.6711824336112	19.6711824336112
1015100	20.0421560458376	19.971192620785	19.9157032583684	19.8749868943003	19.8216641614024	19.7998784929463	19.8081944116502	19.8081944116502	19.8081944116502	19.8081944116502
1015200	20.2550384088077	20.16989436043	20.0314793335335	19.6005775419144	19.8839560507487	19.8839560507487	19.8839560507487	19.8839560507487	19.8839560507487	19.8839560507487
1016200	20.1693211344757	20.1073145295002	20.048265227886	20.0288097423999	20.0041368921839	20.0041368921839	20.0041368921839	20.0041368921839	20.0041368921839	20.0041368921839
1016800	19.6659458605223	19.4463456728375	18.7836921847244	18.5181151364361	18.2676269157935	18.2676269157935	18.2676269157935	18.2676269157935	18.2676269157935	18.2676269157935
101700	22.8104353324844	22.802880657382	22.7912916426041	22.7740232606005	22.7763764645696	22.7472931571972	22.7469615562981	22.7469615562981	22.7469615562981	22.7469615562981
1017400	9.52686103410244	8.73039144382516	8.84983665047083	8.37410609760451	8.42513895129436	7.69132934120654	7.6204958617817	7.6204958617817	7.6204958617817	7.6204958617817
1017800	19.8656199222034	19.8539192713376	19.8409226580734	19.822243897826	19.8114891911594	19.8114891911594	19.8114891911594	19.8114891911594	19.8114891911594	19.8114891911594
1018200	19.9399000502645	19.9195440792585	19.8389584911267	19.7937133703885	19.8188926194554	19.8188926194554	19.8188926194554	19.8188926194554	19.8188926194554	19.8188926194554
1018300	9.05269172105889	8.89347441873638	8.39957475467594	8.00881879543124	7.08549462697574	7.11607934824452	7.0017734900885	7.20081225516323	7.27088301899208	6.63646346759177
