WBIC,mean.summer.flow.cfs,med.RT.days
1760500,0.11,340
2105100,23.2,590
2418600,13.3,570
2616900,1.83,470
2620600,24.9,550
2914800,2.87,530
60800,1.53,470
270200,1.16,460
2347400,0.14,350
2423900,1.41,490
2437600,0.13,360
455100,0.11,350
2314300,2.63,500
702800,1.06,510
759800,2.99,550
828000,26,640
1445600,3.26,500
1589600,1.62,470
2109300,4.31,590
2178400,2.34,570
2308000,2.36,480
2321400,7.27,610
2618100,3.68,540
2729700,1.6,520
2954800,6.46,600
2435700,15.5,640
146400,1.31,550
146500,1.24,530
533600,3.53,590
738400,1,520
762400,16.9,630
1586800,1.46,550
1592400,16.6,690
1596300,8.18,680
1596600,2.16,590
2106800,55.8,790
2272700,1.56,550
2277200,2.65,600
2678100,4.15,630
2726100,4.1,610
28100,1.07,560
2079000,3.88,600
2671700,1.77,590
2693700,6.89,630
1638000,0.02,360
462000,1.38,600
528500,1.25,540
643800,1.29,580
816800,4.36,620
1569600,3.88,610
1610700,8.39,700
2267100,1.3,610
2268500,1.05,600
2275300,3.56,660
2317600,3.3,650
2393200,13.5,730
2661100,6.67,690
2732600,33.3,780
2953500,14.3,740
2961600,1.89,570
1555500,1.5,570
2734500,1.08,620
378400,5.12,690
1593800,2.55,680
2244200,1.33,620
2705400,7.14,750
653700,3.18,730
760900,1.76,710
1522900,1.12,620
1605800,6.26,770
1621800,6.51,770
2320800,15.2,780
2719400,3.83,740
2724900,1.53,690
2688800,1.24,690
161600,1.06,620
716800,7.45,870
1614300,4.46,820
2359700,2.4,770
2641000,3.15,770
2956800,1.51,670
2322800,23.1,990
2392000,17.6,1000
2696300,2.7,820
2858100,2.63,820
2903200,3.86,850
772000,17.8,1000
2098200,2.94,860
2390800,73.4,1200
1538900,1.98,880
1602300,13,1000
2615900,2.44,900
1517200,2.54,910
2312100,1.63,870
2157900,1.26,950
1564200,5.04,1100
2317700,2.34,1000
2318000,1.43,970
691800,1.08,980
1616400,3.42,1100
805400,134,1600
1515200,1.22,1000
1536300,8.74,1200
755600,5.25,1200
809600,3.27,1200
2321100,11.7,1300
2351400,8.52,1300
2382300,1.03,1100
2706800,8.74,1300
2678300,2.22,1100
2311100,3.89,1100
339600,2.12,1100
2393500,5.89,1200
2079800,2.47,1200
265300,2.76,1300
852400,1.65,1100
279700,1.85,1300
702700,1.27,1300
1545600,7.02,1400
2621100,5.28,1400
2171000,1.24,1300
396500,10.1,1600
755700,4.3,1500
2903700,1.79,1400
2324300,1.25,1200
702600,3.67,1500
747900,2.99,1400
766600,4.4,1600
830700,6.31,1700
2275100,4.89,1700
340500,1.62,1500
2628100,10.5,1800
1881100,3.79,1700
2339100,6.35,1900
2353600,1.95,2000
2956500,9.33,2100
2734000,1.28,2000
2619400,4.33,2400
2104500,2.82,2400
2331600,30.8,3100
25300,5.38,3000
703000,1.81,3000
2391200,10.5,4400
7300,6.49,7
161100,42.8,8
293300,41.9,8
548600,1.6,5
843400,35.4,8
1389500,8.47,6
2068000,1040,11
2133200,334,9
2671200,20,6
2687500,16.7,7
329900,62.1,8
1369900,96.4,9
1391200,65.2,9
2131000,24.3,8
2139000,30.2,8
2152100,20.7,7
1326900,10.3,7
1745500,2.68,6
327800,79.1,10
462520,131,11
622800,17.8,7
1352000,37.6,9
1555900,911,9
2666400,38.5,9
1350800,1.36,6
1350500,2.03,6
1444900,6.92,7
1716400,1.11,6
2056600,99,11
2140500,1.72,6
2236800,159,11
2360700,1.15,7
384100,1.22,6
346600,52,9
856800,35.9,10
1323000,8,8
1610400,58.6,11
2901600,19,9
1315000,57.7,12
1345700,5040,17
1642400,14.9,9
1703200,1.86,7
1718300,2.46,8
2229200,1430,15
2285900,6.8,8
2426100,3.28,7
2624200,148,13
2916700,29.8,11
1757700,4.67,8
930700,14.3,11
1318000,22.5,9
2135600,25.1,11
2674800,136,13
2727400,7.07,8
1491900,3.8,8
165700,39.6,10
1327100,10,9
1714900,3.55,10
2152800,4410,18
2273200,9.04,9
1190300,2.52,9
1283700,13.6,10
1422400,23.8,11
2299200,4.99,9
1663200,1.71,8
1339100,8.04,10
1707100,5.75,9
2103900,257,16
58900,59.3,13
635100,5.77,11
884700,10.7,11
1256500,14.7,13
1374800,64.4,14
1715100,1.36,9
2656200,196,16
2358900,1.14,9
1662000,1.33,9
2214900,1.06,9
2216000,14.9,12
168800,4.84,12
172300,18.4,13
854900,9.77,13
2232400,6.6,11
2713600,1.16,10
178000,13.3,13
2205200,1.85,11
2244600,1.99,11
151500,23.4,16
256100,6.44,13
1300000,1.89,12
1524200,3.04,12
2138400,1.04,11
2143900,46.3,17
2177300,0.76,11
1724100,2.29,12
2299600,3.43,12
1617200,8.04,14
497000,4.31,14
820800,13.8,17
1706900,5.9,14
1763600,2.96,14
2398500,3.33,14
834300,1.58,13
545400,341,23
1709700,1.9,13
2252200,17.3,18
2375100,2.43,14
164300,71.4,18
540600,392,24
849400,49.1,18
1269100,3.23,16
1377900,62.6,20
2176500,1.25,13
2670900,22.4,19
168000,214,24
336400,9.5,16
574500,1.92,14
2345000,1.61,14
2703500,39.9,21
1588500,0.71,13
2300900,1.97,15
1295400,46,22
1500900,3.34,15
1666000,3.74,16
2740300,240,26
765800,35.6,22
2711800,0.88,15
1331300,2.49,16
617100,3.57,17
1719200,1.83,16
1732700,3.69,17
2748000,0.86,16
620700,0.53,14
278800,14.8,22
859900,235,28
2111700,5.62,20
722700,9.07,19
1389800,90.4,27
1736900,5.69,19
2382700,16.6,23
2726000,5.56,19
2747700,0.6,16
2625700,8.36,20
2640500,23.8,24
794200,13.3,23
2245100,53.5,26
368200,1.22,17
2059800,34.5,23
2097500,3.8,19
1332400,4.09,20
1702900,1.04,18
1746200,1.38,18
816000,11.1,22
1332200,7.52,21
1377700,70.5,25
1321000,0.97,18
152700,4.07,21
1712800,2.85,23
2110900,17,26
2672100,11.9,26
2707200,6.09,22
1469400,0.55,18
399800,2.87,20
626100,0.46,18
1520900,24.3,24
2298500,4.47,22
2235800,1.97,21
273800,3.7,25
2934000,2.42,22
2224400,5.22,26
2291500,0.73,20
2692900,182,37
1703800,0.71,22
2876000,7.45,29
1333500,4.74,26
1580400,18.1,28
2089500,34.6,35
1338000,2.02,25
1701800,4.28,30
2094600,35.1,35
2406900,2.57,28
1736200,6.21,31
1722800,0.71,22
159900,76.2,34
1580500,17.5,30
164600,0.51,23
765100,0.68,25
1378100,53.3,40
1525500,13.9,31
1330200,21.2,33
1333700,3.49,29
1342100,13.5,37
1377100,4220,45
1595300,430,42
2183500,1.01,27
1715300,0.93,28
2420600,141,47
2180100,1.8,30
2412100,0.63,28
173300,8.85,34
2259400,5.51,37
1295800,3.53,36
1321300,0.87,29
461300,4.45,38
180300,24.5,45
1336900,5.7,36
2219900,6.65,37
1466600,1.34,33
1326400,1.47,33
294500,6.61,43
633800,1.58,35
315600,4.69,37
807400,0.44,31
1516800,32,50
2420400,0.3,33
1726300,2.31,37
1725400,2.62,37
2193300,19.8,49
61200,0.6,34
1329200,2.55,39
826600,5.26,41
1724300,1.58,37
2665600,2.4,39
1722000,21.8,52
1721300,1.37,38
2426300,2.72,45
768600,11.1,52
494400,0.42,35
2094000,79.7,63
2361900,6.87,51
2428700,3.22,42
411300,0.32,35
1592900,1.7,41
1506800,107,72
1572500,4.31,53
1608300,3.13,48
2160700,99.8,71
2429600,15.4,61
1332700,2.15,48
1714700,0.23,37
1301300,1.22,45
1641400,3.75,57
2094300,38.8,69
2115900,3.29,55
2243200,3.1,49
2671500,2.19,48
2722400,10.3,55
158600,1.47,53
466700,16.4,68
1191600,3.58,57
1334700,1.81,53
1606200,3.03,56
2189200,1.09,51
2381100,40.9,74
2727600,6.91,57
1421600,0.63,47
1422800,0.17,44
2184100,0.72,46
465000,26.7,78
903700,24,76
1258100,5.33,62
1445100,5.15,70
1631500,1.96,60
1701400,1.55,56
1725600,1.63,56
2225700,1.48,57
2097800,0.76,52
2123500,1.23,56
1321500,0.8,53
1725900,0.45,51
1768600,0.43,51
617000,4.1,62
1362200,0.31,53
1398300,1.65,60
1418400,1.04,61
1500400,0.54,57
167000,9.99,85
1334100,2.95,66
1620500,2.3,65
2178900,1.93,68
2233200,1.35,64
2298600,4.28,74
2730400,2.7,73
1246300,0.68,67
1252300,0.53,66
552100,4.07,71
816600,4.8,73
1245800,9.8,88
1338200,1.64,67
1346700,0.61,62
1516400,35.6,98
1612500,3.96,83
2191700,3.75,75
2207200,0.28,57
2423000,11.2,89
2928200,0.37,61
659000,2.02,72
1717500,2.37,75
2246500,7.4,88
2260100,1.8,72
1740000,4.7,78
1350200,0.32,64
1324300,0.18,63
1400700,0.27,61
1316300,1.07,72
1717300,2.97,79
2435000,30.2,110
2416700,0.23,64
263700,0.35,68
1726100,0.93,72
1744700,0.24,66
2616400,5.3,98
1319600,0.22,68
1332000,0.55,74
1337600,2.77,88
1704100,2.06,83
1585900,4.21,89
406400,26.3,110
1704500,2.66,94
2673200,1.97,90
2301700,0.44,78
7100,0.92,85
1516700,0.72,91
1528300,203,160
1580200,19.4,110
2286800,0.99,95
2312500,2.58,100
2928400,2.47,110
2353500,2.07,98
1246500,4.36,110
2053400,9.41,110
2115400,0.81,95
408000,3.9,110
1327700,2.42,110
1366100,1.93,110
1718500,2.32,110
2671400,2.31,120
2071700,5.19,130
2249000,0.18,98
2427400,0.42,96
2207700,0.3,99
2374600,8.25,140
2436400,0.86,120
2742800,1.6,110
894700,2.02,130
1336200,3.4,130
1753500,5.57,130
2311700,3.8,130
178700,1.11,130
2946500,0.39,110
1495500,1.29,120
2102800,1.08,120
4000002,2.45,140
168300,0.93,140
1239400,10.8,160
2938000,2.18,160
739800,0.16,120
138000,0.23,130
175700,15.1,190
1717700,0.4,130
2297600,0.56,130
1365300,0.3,120
1278700,0.71,140
532900,0.34,130
1422100,1.46,150
2171200,8.05,190
2743300,3.65,170
179100,0.93,160
2294900,509,230
1324500,1.77,160
1324900,0.34,140
2430300,10.4,200
2869000,0.4,150
1348600,9.58,190
1366700,0.25,140
2942300,65.1,220
1280400,19,230
1335900,0.35,150
1353300,9.03,200
2876500,1.51,170
1331600,0.37,150
1573700,0.19,150
523000,1.92,190
1363400,0.31,160
2360300,0.61,170
1317800,0.38,170
1427400,171,310
1700300,4.26,210
1544000,1.15,200
2616700,0.09,160
1757200,1.54,230
1266800,0.42,190
757400,0.04,170
1827000,0.14,180
1572800,1.17,230
2305200,0.36,210
1629800,0.92,220
2704200,33.5,360
2185700,0.05,200
1734700,0.06,200
1335500,1.53,270
2616000,0.3,230
557500,0.38,250
2908500,0.56,280
627200,0.92,270
1326600,1.16,310
19900,0.05,240
2739400,0.25,250
2915800,0.72,320
2150200,6.31,390
2702400,0.14,260
2194100,0.14,270
2220500,0.41,330
2661600,1.81,380
1398100,0.07,270
1286500,2.83,370
2633300,0.44,310
1735000,3.03,370
739100,0.79,340
2348500,0.23,310
2436600,0.51,350
2395700,0.11,310
763500,0.41,350
38900,7.27,500
2673600,1.43,450
2094100,10.8,660
721400,3.51,670
2304500,1.02,830
176000,2.43,1200
801250,265,0
286900,20,0
823900,67.5,0
268600,28.9,1
823000,89.3,1
307700,35.4,1
2607800,121,2
852200,20.7,2
1483900,103,4
2872200,108,7
2684800,4.83,40
939600,0.48,69
