WBIC,mean.summer.flow.cfs,med.RT.days
2627300,16.3,15
2917300,1.23,12
2503900,0.58,11
486000,5.14,14
1411300,1.34,13
2343600,5.57,14
2680500,2.35,13
2339500,3.85,14
376500,0.34,12
2387200,4.71,16
2092000,4.23,14
2400500,0.34,12
851000,3.45,15
1567500,1.87,14
2671100,20.7,18
851900,2.32,14
2309100,24.2,20
2545100,1.43,14
1536700,0.71,13
1529500,36.5,18
2707300,3.99,17
2879300,5.4,18
2882200,9.99,18
568100,0.92,14
1447100,1.08,14
2401700,1.66,15
365300,1.55,15
1445400,4.83,18
1611800,45.3,22
1294900,2.13,15
445500,2.08,16
652100,2.68,15
847100,5.1,18
1612300,41.6,22
2435900,8.67,20
2684900,3.55,17
337300,0.81,14
703200,0.65,14
715300,0.19,13
1604100,0.92,15
728800,2.35,18
2664500,16.5,21
693100,0.34,14
2390500,75.9,24
2332700,1.15,16
638300,1.63,16
2676700,3.81,17
1612900,36,24
1214900,2.01,17
2564000,0.57,15
2628500,0.46,15
625200,1.13,16
1572000,37.3,22
2675800,2.2,18
1610500,58.1,27
2724600,1.6,17
29300,2.84,21
1615400,2.28,19
2935400,2.48,19
1534900,1.62,18
345000,0.44,17
1493500,2,19
1559400,2.07,19
1600300,40.3,27
2302900,1.21,19
2635900,15,25
1215400,0.65,18
1489500,1.2,18
2624900,1.86,21
1568800,1.72,19
2389200,0.94,18
759400,1.14,20
262300,5.99,23
160800,0.56,18
2689700,0.71,18
1411800,0.35,17
38200,17.5,27
178500,1.45,20
1600200,145,32
2619100,6.57,25
2660800,8.46,26
380800,0.36,17
1534100,0.31,17
262700,5.65,25
728700,2.47,23
2207900,0.97,19
2342800,3.39,21
264900,3.16,24
2709900,5.95,23
283300,0.7,20
2114300,12.2,28
155200,1.05,21
1516500,366,38
1589300,56,28
2329600,55.9,28
79600,0.45,19
139600,1.08,21
2673000,2.22,23
2090300,0.35,20
2681400,0.29,19
1411900,0.32,19
2101800,2.1,23
1450800,1.95,23
642100,3.31,24
2312700,1.31,23
2953400,14.9,27
2360100,1.23,22
399200,67.8,35
522400,3.06,24
1468100,1.24,23
1592700,3.81,25
267200,5.36,30
1513000,11.4,31
642600,1.06,23
2621500,1.5,24
486300,2.8,27
638200,1.9,25
702200,4.09,30
1341500,1.96,25
728500,2.61,29
1614500,2.03,26
2418900,0.82,25
2417500,0.6,24
170100,0.91,24
63800,0.92,27
2235200,2.54,27
2691100,0.73,24
477900,1.34,26
2658800,0.59,24
2873500,0.84,25
2299900,81.6,41
2321300,7.54,30
2327500,166,43
1252700,0.55,25
465600,0.96,26
756700,3.44,32
2329800,52.4,42
2965200,1.5,28
2463800,1.16,27
2216200,0.94,26
2269400,9.08,31
479200,0.99,28
2109100,7.83,36
2434800,35,41
1843000,0.9,28
1534700,0.57,27
376300,4,31
614100,2.65,31
351200,1.1,28
470500,0.14,24
532200,0.54,27
2733800,0.75,27
140500,1.73,29
262900,3.9,35
673500,0.35,26
2341200,4.95,32
1530100,1.99,32
1629200,12.1,35
2696000,7.98,38
2899400,22.2,42
1595100,0.48,27
2652000,1.59,31
2326300,2.25,32
2838700,0.66,28
245650,5.3,38
324300,1.63,30
1206800,1.99,32
1603800,93.4,48
2216600,1.5,31
2855800,0.65,30
1582700,2.29,32
2902600,11.6,41
2193700,0.43,29
324700,0.66,30
2708900,11.7,37
1690700,0.59,30
547700,0.39,29
1577300,0.19,27
1597800,10.3,42
1630600,6.95,37
1532500,0.75,31
1241200,0.42,29
56700,1.09,31
1604000,0.96,31
793600,19.9,45
364600,0.48,29
2956700,2.64,35
1610600,57.4,51
34500,0.9,33
1573800,28.7,43
2865700,2.11,34
2101900,1.7,35
2735000,0.37,29
1557200,0.59,32
1590400,51.2,52
2211800,21.1,42
2238000,1.54,35
265200,2.8,41
275200,0.2,31
347500,0.26,30
2165400,3.23,37
2318700,0.67,33
555200,23.4,44
1504600,2.5,37
1513800,6.9,45
478000,1.11,35
2243400,0.85,35
2309700,20.5,51
2650900,21.4,44
2856400,26.6,51
2892100,10.7,47
32800,0.27,31
1518700,2.92,39
2103200,16.5,50
38000,0.34,32
1620200,1.84,37
1767500,1.65,37
1571300,9.05,43
2054200,3.6,39
2662400,11.8,50
2677700,10.3,49
2898200,3.43,45
525200,0.41,33
2922200,5.07,47
362900,0.56,34
2660700,0.22,32
2903600,5.54,47
1587300,0.5,35
2901700,17.7,52
2936400,0.47,35
1028300,0.2,34
1609000,66.3,60
2268600,11.1,52
1624700,0.74,37
1603700,95.4,62
323700,7.34,51
614600,1.64,41
848500,0.6,41
1537400,1.04,41
1544700,12.8,55
1567200,2.56,42
1577500,1.12,40
2269600,3.04,44
2307300,34.3,59
2310900,5.04,44
2326100,2.67,42
2330300,8.83,48
2426600,1.24,41
2640100,27.4,58
2668400,0.45,36
2720800,4.78,48
2916900,24.2,56
387200,1.39,44
652800,0.44,36
71700,1.11,40
2352700,0.56,37
1527300,1.53,41
99100,5.03,46
176200,0.92,42
358600,1.13,43
487400,1.19,42
549400,7.1,51
707800,0.98,42
743800,4.47,52
827000,29.8,56
1565500,0.31,38
2109800,25.4,59
2338300,48.7,66
2621600,3.21,51
1809600,1.4,44
2107600,7.19,54
2326000,2.84,45
2948500,0.66,40
57900,1.87,44
72100,0.48,41
177500,2.24,46
249400,1.72,43
818700,0.42,39
1013100,0.71,40
2099800,1.14,41
2283800,1.08,47
2316800,2.07,45
376100,0.94,40
1615600,1.12,43
2309400,2.03,42
112800,0.64,43
385100,0.37,40
668100,0.37,38
849100,0.22,38
1932000,0.55,42
2342100,0.79,41
2725200,0.34,39
245700,1.16,49
352400,6.44,59
