lakeid,kd.avg.change,durStrat.avg.chng,max_schmidt_stability.avg.change,mean_schmidt_stability_JAS.avg.change,mean_schmidt_stability_July.avg.change,SthermoD_mean.avg.change,lake_average_temp.avg.change,mean_epi_temp.avg.change,mean_hypo_temp.avg.change,mean_surf_temp.avg.change,mean_bottom_temp.avg.change,mean_bottom_temp_365.avg.change,mean_surf_temp_365.avg.change,mean_1m_temp.avg.change,mean_surf_JA.avg.change,GDD_wtr_5c.avg.change,GDD_wtr_10c.avg.change,volume_mean_m_3.avg.change,simulation_length_days.avg.change,mean_volumetric_temp.avg.change
200,0,0.939393939393939,-0.333709334950388,-0.323728378149461,-0.481342708099168,-0.0152618110763042,-0.0969138681419731,-0.0495895332661667,-0.0229435809957221,-0.028570404949897,-0.0254598863564836,-0.0124232531085157,-0.00654508660324847,-0.141656451110294,-0.137665618298618,-4.12895317939879,-8.09356113026909,-53.3986454189272,0.393939393939394,-0.0953417225136727
400,0,0.727272727272727,2.28092907701721,1.26022986729797,4.09025835767606,-0.0571849525263745,0.0270776374263788,0.0132255333783092,-0.0168460792706197,0.0455387823497121,-0.000624099642300301,2.07542114778873e-05,0.037929002228894,0.0318648981501728,0.050032133253094,12.3950070058697,8.02068763303001,-200.013935106757,0.121212121212121,0.0288784852239637
6100,0,0.818181818181818,0.209998006876667,-0.0442013045803676,0.106728808577276,0.00899669206112122,NA,0.190847521089597,NA,0.0432285819026091,0.0397414764417969,0.0357850789556303,0.0403561245937546,0.0316003132749848,0.0461211868181818,13.2262881421873,9.15417449679394,-65.1917969864272,0.272727272727273,0.0329767526408818
7100,0,1,0.435667807526,-0.210855471982703,0.516410453652424,-0.00992070565295455,0.0551284084336334,-0.0150261628697182,0.0506477025411485,0.0490104644235091,0.0480483278768167,0.0354793181703446,0.0407784816396667,0.0473599811318151,0.0370286494867182,13.1453782796506,8.46068949362908,-194.799759306848,0.181818181818182,0.0572440203384303
8000,0,0.818181818181818,0.578782157204209,0.0753062539130637,0.479668089953352,-0.00649444318461818,0.00680337524414546,0.0877539494955878,0.0891182673462818,0.00983157679159699,0.0282136692789879,0.0342381412422888,0.034598254857206,0.00536221416104847,0.0538486582893273,11.0893035912364,6.29059984563757,-267.057161703242,0.757575757575758,0.00805908694485753
8900,0,0.148148148148148,0.496627476468826,0.1091167695942,0.253513559491848,-0.0329360028993522,NA,0.0731014208919406,NA,-0.0297978116322779,-0.00337812758140367,0.0218580845720667,0.0098924192960185,-0.0285961141592851,0.0250733178750407,3.21357771213926,0.634296375287039,-589.613102837776,0.851851851851852,-0.0250782635496889
9700,0,0,3.14958451863608e-16,-1.55254244717679e-16,-2.35468937821821e-16,0,NA,0.0291219768711321,NA,-0.0971084839036572,-0.0957517894322321,-0.03516392151205,-0.0348404857740179,NA,-0.0551874723197536,-8.25664669284822,-7.35976450516249,-20.6550908588204,0.964285714285714,-0.0640578750425929
10300,0,0,4.44497815130094e-16,-1.88405667323749e-17,-4.72014346542937e-16,NA,0.0410489589851251,0.0769540099020094,0.0769540099020125,0.040645080990225,0.0410489589851251,0.0439286545956344,0.0435146187085406,NA,0.0410696575154719,13.6779297481744,9.54436811210656,-37.6138629471431,0.40625,0.0299784539004594
10500,0,-0.78125,0.0135683614720738,-0.0194764139300619,-0.0152537138194075,0,NA,0.148216594685781,NA,0.0371493127751844,0.04171209295645,0.0372327767872163,0.0368616686564656,0.04171209295645,0.00502020673407189,11.3688762426534,6.92976305627688,-28.3634867116418,0.34375,0.0341617006668093
11900,0,0,1.8682001962379e-16,2.76124094938467e-16,1.42917315012203e-15,0,NA,-0.416912283840623,NA,-0.164486974264978,-0.167254582753811,0.041806294480291,0.0473089323994612,NA,0.1261809993402,29.3209865238711,17.2578569895967,-6.57515715588872,7.11111111111111,-0.189297549757989
14400,0,0.125,0.00384640347602769,-2.04548519715179e-16,-6.89168233902131e-17,0,0.0420675779311626,0.0751699104557156,0.0751699104557156,0.0422811806079501,0.0417576935250531,0.0442004848028719,0.0444469610586906,0.0434159677367125,0.0415927699151437,14.1570210616141,9.77347985470219,-84.1393778394,0.40625,0.0325011787713781
