WBIC,Secchi_satellite,Secchi
2881200,,1.5
2897100,2.55228746,2.7
2897300,3.292507092,2.45
2898500,2.98363209,5.05
2899200,3.954648223,4.8
2899400,3.67531222,3.3
2900200,4.545407339,6.7
2901100,4.276704852,1.5
2902900,3.702041036,3.9
2903200,5.619785264,5.9
2903400,1.810316011,3.3
2903600,2.931501971,5.4
2903700,5.69459284,7.2
2903800,4.116186651,5.4
2914800,3.516104757,1.35
2916200,1.17535984,1.25
2916700,2.91166517,1.05
2916900,3.54804097,1.5
2922200,3.404572761,0.9
2922700,3.337130346,2.4
2928400,3.059333756,0.6
2935300,2.502160593,1.2
2938000,2.65345019,
2945500,2.901339133,
2949200,2.13867123,2.7
2953100,1.472620844,4.383333333
2954500,3.726001711,3.594375
2958500,3.522251814,5.3
2962900,1.771923818,1.525
2964100,0.991589802,2.1
