WBIC	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
WBIC_168000	18.1715254379483	18.0064365934818	17.6698984916519	18.4893538050566	18.3404849734457	17.659122905785	17.8142042551109	18.5500034640897	17.7240358750108	16.6699757145309	17.3204244588575	16.9184319480344	18.5552769987918	16.6432104894272	16.6046749374519	17.8901398359124	17.9164731570513	18.0179191073579	18.1447918507188	18.3930184288915	17.4064719726742	17.5225404273761	17.5057929781287	18.1664102010744	17.2328326143133	17.4250398941301	18.3080547479481	17.9945641710849	18.371190844502	18.5779213399406	16.5927569455984	18.3966896371834	17.5910218792841
WBIC_1597000	13.9788546363243	14.1973709919682	13.6243095296424	15.0238170691731	14.6362177046966	14.6475658683665	15.0693878208317	15.0358281652767	14.688026008197	13.882425921893	13.4952608320319	14.6436698253046	13.4566311980884	13.8127823366819	13.6448298942938	14.2095932632465	14.0837299602764	14.7682313272644	13.5792723974401	14.0079527053951	13.4623079573725	14.1031210796189	13.8299986410695	14.1282125498682	14.5611317000398	13.8976027874368	15.0065966431359	13.9189638970638	15.2580119720494	14.6236058110419	13.2524306213544	14.0681732349406	14.3836911564066
WBIC_2429600	14.6965343207572	14.8464521893898	14.5514624122505	14.9223488807107	15.7559547384731	15.3293933725448	14.7015593519372	15.3149325217083	15.1985604685064	15.2152981581411	14.3202778034179	14.9959291514675	14.6358326346819	14.2670413338818	14.1912610394879	15.0053332685341	14.8819246399574	14.9785811982636	14.6766001056896	14.7971684991571	14.2505144489484	14.5954671464267	14.7272149985794	15.3197078639303	15.4123505160382	14.2466474253547	15.6496913781395	14.9017389817228	15.5382951279462	15.1457589343559	13.7522345257125	15.0674421160832	14.7894965941668
WBIC_2881200	15.4238980422784	15.5179896852327	15.091698672048	15.7702657858155	16.2948834842223	15.4013848149916	15.3498948278726	15.5489201056563	15.6049282282704	15.5828065663477	15.7260776158813	15.6501947591821	15.5891423870122	14.9192057259521	14.3341625843449	15.3687365733514	16.166453782658	15.7864601045165	15.3543249415389	15.2316979249598	14.6289093643854	14.5252621156524	15.1370347982624	15.5187021486553	16.0820219765789	14.5541248137556	16.5979118553776	16.2705870893322	16.8277316213195	15.7076506504012	14.4794446822956	15.9150669470811	15.1549734131731
WBIC_2467200	16.1466202612988	16.5411502370399	15.9840258785423	17.0519647104125	17.3673673343098	16.6384818226441	16.2017335503595	16.9535134833078	16.8309615925717	19.2950790255958	16.4974962720605	16.2445860074521	16.9592374157623	15.6182125140146	15.5385230590357	16.4631401071316	16.7908257694898	16.6115555623703	16.7210382842111	16.9647571420726	15.5597053207534	15.8840718627216	16.2380210510571	16.8068222557718	17.1083906326338	15.4952066606442	17.2675165356265	17.4862076502937	19.849170440059	16.2561689065262	15.2041109674755	16.8333548653349	16.4143516751397
WBIC_2675000	16.5024439127704	16.9830384544648	16.3580410950338	17.5327142104529	17.5673535546192	17.1059453062762	16.6873455196825	17.4813985707022	17.7431015916513	17.5455774066327	17.020246888949	16.6969755445378	17.47761107595	16.0866705869028	15.9123882358183	16.8747114955799	17.2910934736474	17.1311727038719	17.2145732589151	18.3664460848348	16.0391316918201	16.383729081683	16.6759559886387	17.1921881085469	17.6264039003339	15.9829211955881	17.7262208106287	17.7994602107599	17.4722864413715	16.7267055533314	15.5751862532043	17.2666123793846	16.8074387393359
WBIC_30300	15.4503258319948	15.4395463397286	15.3522063915782	16.0994282965031	16.1893076469365	15.588610095666	16.2245574542668	16.4261815446275	15.5432583906321	15.313999856957	15.6297264756644	14.3469665582378	15.7945695111094	14.6994545421879	14.2094654397682	15.7847476102666	15.7407451115298	15.5861499532414	15.1942079675072	16.1789881255024	15.4550237789906	15.1575707237921	15.1125349441741	15.6837330538917	15.3575993032894	15.2175127528832	16.8770691999697	15.2259395640929	16.6154356411541	16.6214777122474	14.7509474295102	15.6605001450435	15.024453812755
WBIC_2448700	15.9973186909008	16.57309194568	16.1302510747104	16.8676577636861	17.2741306136399	16.5078098463867	16.3174811978967	16.7748500262322	16.8967380864991	17.2189002309437	16.6362876332449	16.5129683079152	17.1927100008436	15.8157231624752	15.6995462020777	16.4597073804144	16.858189657788	16.776571178364	16.7420302444713	18.0443600245146	15.8764540812198	15.9858883820037	16.262862201743	16.8140431097365	17.210738666623	15.6298174122895	17.3835976443009	16.8639741196177	17.22362406438	16.5150962886678	15.1932544901495	16.9926185680717	16.6412529695445
WBIC_29700	15.2217746629353	15.1927927502327	14.8355846854336	15.5227823377643	15.5672727472843	14.9307564292047	15.6332046967448	15.9744859670863	14.895702261668	14.7325476698542	15.022156087208	14.0067545742631	15.0080917746639	14.2111132409208	13.7084051992732	15.3003539420201	14.9542641758879	14.9233030364028	14.862264924738	15.1965420007093	14.692681464025	14.8930975183676	14.6973755103152	14.8042513361326	14.8917887660611	14.6006780154716	16.022179084773	14.4505986165258	16.0666234591068	16.056966891257	14.2461955661933	15.2666511709285	14.472713279778
WBIC_1296000	15.4756625798423	15.3742279257865	15.1464877453595	15.8660648727079	15.4843090928103	15.2786807974992	15.287256656094	15.9544358193664	15.1167944933122	14.9809279771487	14.9973604596496	14.3451006259427	14.9235142101998	14.5716765485639	14.3479968695944	15.3348670745021	15.4121383382621	15.3127717364075	14.9312905918261	15.293194780939	14.9599858004068	14.9959223747738	14.8338423280533	15.2765767540019	15.2312238503156	14.7986951391042	16.2592248050228	15.2305372004692	16.1457125580795	16.0019521187168	14.3575163204153	15.5482735481061	15.2300858459409
