WBICs	RT_relative_0.3	RT_relative_0.4	RT_relative_0.5	RT_relative_0.6	RT_relative_0.7	RT_relative_0.8	RT_relative_0.9	RT_relative_1	RT_relative_1.1	RT_relative_1.2	RT_relative_1.3	RT_relative_1.4	RT_relative_1.5	RT_relative_1.6	RT_relative_1.7
397100	20.9306947401886	20.9245327324657	20.9178384485524	20.9113001216063	20.9048002905282	20.8984913035407	20.8916207985687	20.8853536924271	20.8780970940089	20.8714354655309	20.8651283336159	20.8587799018917	20.8526395294366	20.8462473540153	20.8392963295086
398600	20.2294109597779	20.2285729187289	20.2281890522413	20.2277430740278	20.2272019021036	20.2268972845862	20.2264886783272	20.2261020350066	20.2263670121186	20.2256849869748	20.2254523679317	20.2251993822056	20.2249974236188	20.2246338486638	20.2241823530884
399200	20.2211309950088	20.2110211344233	20.2010573535847	20.1905278960046	20.1802523031701	20.1707509962642	20.1614593579562	20.146256528065	20.1361992559985	20.1259591857002	20.1163161638762	20.106597161347	20.096765313547	20.0873446021426	20.0780289397554
400	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959	5.03908036438959
406400	19.8259604549107	19.8198578550115	19.8138935856698	19.8078843166205	19.8016098896755	19.7955787339002	19.7890306574054	19.7834479012306	19.7774686293426	19.7715303519426	19.7652259101912	19.7590034314554	19.7533214664508	19.7474930676205	19.741420952731
406900	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033	20.0030355970033
408000	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575	19.8295757985575
40900	22.0914211031976	22.082877573356	22.074257051612	22.065208889904	22.0562474432348	22.048944469748	22.0383547410182	22.0314574674188	22.023236381354	22.0166755383803	22.0174678132426	22.008846565768	21.997670877332	21.988966339071	21.9818896885075
414900	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143	19.9108271875143
415000	7.84580445069365	7.67066879488634	7.28121600063262	7.71393668710909	7.30715606263649	7.39899295628114	7.1911481781677	6.81561767826494	6.80039223405423	6.97592453316812	6.94098293710868	7.08522720113973	6.96092806532646	6.95880967739476	7.20427641722802
417300	6.7888327074707	6.78485122017216	6.78839413544957	6.79620362296615	6.81612101861198	6.96462691368028	6.97009690010316	6.97013154658354	6.98433232346702	6.99526915220347	7.02792088283225	7.0666101699081	7.07139772320456	7.0491651188184	7.07492571687176
417400	10.727709377521	10.1932139880021	10.1778655317828	10.1136728886558	10.0400372759767	9.94362041814556	9.94643278062924	9.90334188054103	10.0131013798837	10.0158656171463	9.02468513894838	9.8221748119708	9.70167819127222	9.7252430529543	9.9168511685599
417700	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404	19.50387595404
417900	18.078183875995	17.7489495424017	17.4740644653106	17.236185592227	17.0912585612608	16.9267047452782	16.9373646844368	16.8291541673086	16.5233880705507	16.608804427489	16.4672117131189	16.4216476522323	16.4342543945047	16.3689837610789	16.3016525112173
418000	21.4974764685384	21.3340261929534	21.1824041682942	21.0768295095495	20.7328963015539	20.601839881599	20.3671158092559	20.2453139686364	20.1047295039131	20.0196594474726	19.9576767224924	19.7455166659688	19.8027154335873	19.6904463470791	19.5662756597905
418300	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722	22.6215832256722
418700	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275	21.275424633275
419600	21.049610797844	21.0414426599174	21.0433183178193	21.0364922841276	21.0326460491805	21.0232605384718	21.0145275825691	21.0078310649905	20.9982344711807	20.9816530743449	20.9705226349218	20.9598247008144	20.9482690672254	20.9414772445924	20.9339285075424
420400	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771	20.8615711717771
420600	7.93679777482475	7.94568139694144	7.98812619458305	8.06429986401108	8.13142240934758	8.01680620102763	8.06532773838331	8.19325145646124	8.05190148300496	8.1161006317621	8.09936314913957	7.98403159074818	7.96342701802118	8.12305164320251	8.16897901961312
421200	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898	20.6118588445898
421600	20.7548775472192	20.4658451949839	20.1536974364855	19.7455751094371	19.5856226933879	19.4134657770984	19.3409988665785	19.1681005225992	18.966282996822	18.8098899165686	18.7243378609629	18.6576357541126	18.5694447813168	18.4067566458484	18.3329225050481
421800	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749	12.2334728025749
42200	22.9555967569548	22.95072256761	22.9437758420802	22.9362716327758	22.9294048724933	22.9227992143304	22.9083714041617	22.9013190931188	22.8938243547694	22.8877195026443	22.8813102981028	22.8750421870973	22.8678709483967	22.8612966822393	22.8546761114267
422900	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875	21.3433709420875
