WBICs	hc_0.5	hc_1.52631578947368	hc_2.55263157894737	hc_3.57894736842105	hc_4.60526315789474	hc_5.63157894736842	hc_6.65789473684211	hc_7.68421052631579	hc_8.71052631578947	hc_9.73684210526316	hc_10.7631578947368	hc_11.7894736842105	hc_12.8157894736842	hc_13.8421052631579	hc_14.8684210526316	hc_15.8947368421053	hc_16.9210526315789	hc_17.9473684210526	hc_18.9736842105263	hc_20
10000	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738	23.7226863603738
100000	20.7122338786525	20.7122338786525	20.7121957732757	20.7121957732757	20.7121957732757	20.7121957732752	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529	20.7035558789529
1000000	19.9373821513209	19.9247481455451	19.8052373403074	19.815094162099	19.7813915299163	19.8094526326939	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455	19.799668107455
1000100	20.501477673059	20.4580462396813	20.4275090850956	20.4114081482211	20.3806344506937	20.3743832612093	20.3979599473466	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227	20.3712540328227
1000400	19.7069784287029	19.7175007206209	19.7415691229523	19.7496935101288	19.734337534684	19.7196245463283	19.7128136188501	19.7128701214316	19.7127636309528	19.6977812034807	19.7044148692483	19.6828147068716	19.6603927796856	19.696506235193	19.6967387160553	19.7140746871291	19.7203188657558	19.7203188657558	19.7203188657558	19.7203188657558
1000700	16.5197207914975	16.3729192503428	16.8489205583652	16.2025892069872	15.4526606351027	15.2686446425659	15.0110868593495	14.7741448164389	14.5171011275563	13.4842843680625	12.4332969159825	13.431654175949	12.9828635164772	12.6904690499763	11.3956127835948	11.3537437824838	11.3537437824838	11.3537437824838	11.3537437824838	11.3537437824838
1000800	22.0643223595122	22.0569718822598	22.0593448340363	22.0508200556982	22.0495910830315	22.0485902629568	22.047491107087	22.0439380274231	22.040906513674	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238	22.0398476552238
1000900	20.1716363613821	20.1392734875093	20.1415142908112	20.1213827238035	20.1137847354009	20.0800644715754	20.0234335217477	19.9592975025943	19.829791653647	19.7158499084684	19.5756233242721	19.8599493520264	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625	19.8387311612625
1001000	5.50984020910767	5.44045622617949	5.44361556776054	5.4396691876888	5.36773041038101	5.35330010498126	5.18742652936994	4.83601858865644	4.80380596788766	4.75609733991434	4.72657839546633	4.72271940158753	4.74128506443084	4.73756893647462	4.7302971575329	4.72894087450624	4.72894087450624	4.72894087450624	4.72894087450624	4.72894087450624
1001300	5.22625648560388	5.14003602471074	5.08783995884021	5.05506354532965	5.02998505410028	4.98678939887342	4.94290933499926	4.93933819662462	4.91862519698124	4.90891245795223	4.91305299407204	4.93102331958889	4.88486988636898	4.89222617161579	4.8900070141541	4.88877247881899	4.88877247881899	4.88877247881899	4.88877247881899	4.88877247881899
