"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"	"WTEMP_MOD"
804600	"1995-07-18"	12	12.9	8.38192679351912
804600	"1995-07-18"	13	12.6	8.15743206874571
804600	"1995-07-18"	14	12.5	8.01916425136734
804600	"1995-07-18"	15	12.3	7.93965309999056
804600	"1995-07-18"	16	12.2	7.90080434933523
804600	"1995-07-18"	17	12.1	7.87863884964232
804600	"1995-07-18"	18	12.2	7.8615612306644
804600	"1995-07-18"	19	12.2	7.84410692308824
804600	"1995-08-02"	0	26	26.6041141080825
804600	"1995-08-02"	1	26.1	26.6040982976475
804600	"1995-08-02"	2	26.2	26.6038397280511
804600	"1995-08-02"	3	26.2	26.5888282426363
804600	"1995-08-02"	4	26.2	23.493609347185
804600	"1995-08-02"	5	26.2	19.7038074824031
804600	"1995-08-02"	5.5	26	17.9538356518415
804600	"1995-08-02"	6	25.1	16.218437895544
804600	"1995-08-02"	6.5	23.5	14.9804244964972
804600	"1995-08-02"	7	22.2	13.8267018320619
804600	"1995-08-02"	7.5	21.3	12.8546109822225
804600	"1995-08-02"	8	20.5	10.9470022065874
804600	"1995-08-02"	9	17.5	9.91830544372083
804600	"1995-08-02"	9.5	16.6	9.46081464794086
804600	"1995-08-02"	10	15.5	9.22804400824035
804600	"1995-08-02"	11	14.8	8.79561865727311
804600	"1995-08-02"	12	13.6	8.41982426145612
804600	"1995-08-02"	13	12.9	8.17934635337027
804600	"1995-08-02"	14	12.5	8.03016420312608
804600	"1995-08-02"	15	12.3	7.94449772562942
804600	"1995-08-02"	16	12.3	7.90285566376541
804600	"1995-08-02"	17	12.2	7.87934303579018
804600	"1995-08-02"	18	12.2	7.86160347353752
804600	"1995-08-02"	19	12.2	7.84395961197563
804600	"1995-08-02"	20	12.3	7.80701988627508
804600	"1995-08-14"	0	27.8	28.7480564622576
804600	"1995-08-14"	1	27.9	28.7480159975781
804600	"1995-08-14"	2	27.9	28.7475672570237
804600	"1995-08-14"	3	27.9	28.7189071848592
804600	"1995-08-14"	4	27.6	24.4852967730553
804600	"1995-08-14"	5	26.6	19.8778174142872
804600	"1995-08-14"	5.5	26.3	18.1415406338286
804600	"1995-08-14"	6	25.3	16.4171786929371
804600	"1995-08-14"	6.5	24.7	15.0994466835577
804600	"1995-08-14"	7	24.5	13.8825594100189
804600	"1995-08-14"	7.5	20.8	12.8829749331343
804600	"1995-08-14"	8	18.9	10.9710025130531
804600	"1995-08-14"	8.5	17	10.4333639728849
804600	"1995-08-14"	9	16.1	9.9656307836068
804600	"1995-08-14"	9.5	15.3	9.51565469513733
804600	"1995-08-14"	10	14.8	9.28126524879302
804600	"1995-08-14"	10.5	14.1	9.06280231696385
804600	"1995-08-14"	11	13.7	8.84210799865122
804600	"1995-08-14"	11.5	13.5	8.61803744614121
804600	"1995-08-14"	12	13.4	8.45095159807531
804600	"1995-08-14"	13	13.3	8.19725607808456
804600	"1995-08-14"	14	13	8.03912920061375
804600	"1995-08-14"	15	12.6	7.94844479361469
804600	"1995-08-14"	16	12.5	7.90453139185423
804600	"1995-08-14"	17	12.4	7.87992480200218
804600	"1995-08-14"	18	12.4	7.861652772978
804600	"1995-08-14"	19	12.4	7.84386599612241
804600	"1995-08-14"	20	12.4	7.80747506757813
804600	"1995-08-30"	0	26	26.2163111420775
804600	"1995-08-30"	1	26	26.2161709169891
804600	"1995-08-30"	2	25.9	26.2154148802575
804600	"1995-08-30"	3	25.9	26.2040612523831
804600	"1995-08-30"	4	25.7	25.4273643914977
804600	"1995-08-30"	5	25.6	22.3908128678951
804600	"1995-08-30"	6	25.6	16.8430869514063
804600	"1995-08-30"	7	25.5	13.9614028792572
804600	"1995-08-30"	7.5	23.4	12.8947130705775
804600	"1995-08-30"	8	22.7	10.9935418192145
804600	"1995-08-30"	8.5	19	10.4746444601011
804600	"1995-08-30"	9	17.9	10.0221916876093
804600	"1995-08-30"	9.5	15.9	9.58661692528139
804600	"1995-08-30"	10	15.5	9.35261894741803
804600	"1995-08-30"	11	14.5	8.90944694804708
804600	"1995-08-30"	12	13.9	8.5007349492836
804600	"1995-08-30"	13	13.4	8.22776279806239
804600	"1995-08-30"	14	13	8.05507608685951
804600	"1995-08-30"	15	12.7	7.95557124706077
804600	"1995-08-30"	16	12.6	7.90752577526683
804600	"1995-08-30"	17	12.5	7.88093802427041
804600	"1995-08-30"	18	12.5	7.86177861143303
804600	"1995-08-30"	19	12.4	7.84378904716844
804600	"1995-08-30"	19.5	12.4	7.82561069037733
804600	"1995-09-11"	0	21.4	20.767816162721
804600	"1995-09-11"	1	21.4	20.7678161501372
804600	"1995-09-11"	2	21.4	20.7678158199246
804600	"1995-09-11"	3	21.1	20.7677587185333
804600	"1995-09-11"	4	21	20.7677053048892
804600	"1995-09-11"	5	21	20.7501406613544
804600	"1995-09-11"	6	21	20.7066558478915
804600	"1995-09-11"	7	21	14.2739717321295
804600	"1995-09-11"	8	20.9	10.9624203699518
804600	"1995-09-11"	9	20.8	10.0680598991818
804600	"1995-09-11"	9.5	20.7	9.66577350913895
804600	"1995-09-11"	10	17.7	9.43965082736195
804600	"1995-09-11"	10.5	17	9.22654228147519
804600	"1995-09-11"	11	15.5	9.00512550772524
804600	"1995-09-11"	11.5	14.7	8.77113783994172
804600	"1995-09-11"	12	14.1	8.583193340304
804600	"1995-09-11"	12.5	13.8	8.41432341705762
804600	"1995-09-11"	13	13.5	8.28427038135653
804600	"1995-09-11"	13.5	13.2	8.17426868099286
804600	"1995-09-11"	14	13	8.08719992617996
804600	"1995-09-11"	14.5	12.8	8.01983758435059
804600	"1995-09-11"	15	12.7	7.97044707189005
804600	"1995-09-11"	15.5	12.6	7.93140254970633
804600	"1995-09-11"	16	12.5	7.91370171238667
804600	"1995-09-11"	17	12.4	7.88290772978642
804600	"1995-09-11"	18	12.4	7.86211347691305
804600	"1995-09-11"	19	12.4	7.84384745898052
804600	"1995-09-11"	20	12.4	7.80854841202214
804600	"1995-09-11"	21	12.3	7.77878056507399
804600	"1995-09-25"	0	16.4	15.1826235008142
804600	"1995-09-25"	1	16.4	15.1826235008142
804600	"1995-09-25"	2	16.4	15.1826235008142
804600	"1995-09-25"	3	16.4	15.1826235003826
804600	"1995-09-25"	4	16.4	15.1826233038723
804600	"1995-09-25"	5	16.4	15.1826000368741
804600	"1995-09-25"	6	16.4	15.1825269310828
804600	"1995-09-25"	7	16.2	15.1804897140485
804600	"1995-09-25"	8	16.2	15.1600389435779
804600	"1995-09-25"	9	16.2	12.8508589446971
804600	"1995-09-25"	10	16.2	9.44598103788738
804600	"1995-09-25"	11	16.1	8.99967031345631
804600	"1995-09-25"	11.5	16.1	8.82151343766152
804600	"1995-09-25"	12	15.2	8.66909910893557
804600	"1995-09-25"	12.5	14.9	8.52601486857985
804600	"1995-09-25"	13	14.5	8.40040460635324
804600	"1995-09-25"	13.5	13.7	8.2887218415633
804600	"1995-09-25"	14	13.3	8.19296811765762
804600	"1995-09-25"	14.5	13	8.11340106835636
804600	"1995-09-25"	15	12.7	8.04859592190788
804600	"1995-09-25"	15.5	12.6	7.99514535583522
804600	"1995-09-25"	16	12.5	7.9651191869272
804600	"1995-09-25"	17	12.4	7.91022039185744
804600	"1995-09-25"	18	12.3	7.87239084548237
804600	"1995-09-25"	19	12.3	7.84856092547785
804600	"1995-10-11"	0	15.3	14.6380885643212
804600	"1995-10-11"	1	15.3	14.6380885643212
804600	"1995-10-11"	2	15.2	14.6380885643181
804600	"1995-10-11"	3	15.2	14.6380885642796
804600	"1995-10-11"	4	15.2	14.6380885450874
804600	"1995-10-11"	5	15.2	14.638079878734
804600	"1995-10-11"	6	15.2	14.6378526174573
804600	"1995-10-11"	7	15.1	14.6368764161549
804600	"1995-10-11"	8	15.1	14.6366088255205
804600	"1995-10-11"	9	15.1	14.5580694110976
804600	"1995-10-11"	10	15.1	13.6877771405164
804600	"1995-10-11"	11	15.1	9.35417715928777
804600	"1995-10-11"	12	15.1	8.6750417007121
804600	"1995-10-11"	13	15	8.49315017728232
804600	"1995-10-11"	14	14.9	8.35603181984727
804600	"1995-10-11"	15	14.8	8.21465424975201
804600	"1995-10-11"	15.5	14.8	8.15019545446887
804600	"1995-10-11"	16	14.6	8.10030948637675
804600	"1995-10-11"	16.5	14.5	8.05042351828462
804600	"1995-10-11"	17	14.5	7.99950689556377
804600	"1995-10-11"	17.5	14.4	7.9482634372567
804600	"1995-10-25"	0	11.8	10.4279400583164
804600	"1995-10-25"	1	11.8	10.4279400583164
804600	"1995-10-25"	2	11.8	10.4279400583164
804600	"1995-10-25"	3	11.8	10.4279400583164
804600	"1995-10-25"	4	11.8	10.4279400583164
804600	"1995-10-25"	5	11.8	10.4279400583164
804600	"1995-10-25"	6	11.8	10.4279400583164
804600	"1995-10-25"	7	11.8	10.4279400583076
804600	"1995-10-25"	8	11.8	10.4279400579418
804600	"1995-10-25"	9	11.8	10.427940036651
804600	"1995-10-25"	10	11.8	10.4279400288745
804600	"1995-10-25"	11	11.8	10.4279115130198
804600	"1995-10-25"	12	11.8	10.4276343710932
804600	"1995-10-25"	13	11.8	10.4268869593311
804600	"1995-10-25"	14	11.8	10.4160721217724
804600	"1995-10-25"	15	11.8	10.3892621347979
804600	"1995-10-25"	16	11.7	10.3892621347979
804600	"1995-10-25"	17	11.7	10.0854582963205
804600	"1995-10-25"	18	11.7	8.21648688606614
804600	"1995-10-25"	18.5	11.7	8.1216938699377
804600	"1995-11-07"	0	7.4	7.74145525351369
804600	"1995-11-07"	1	7.5	7.74145525351369
804600	"1995-11-07"	2	7.5	7.74145525351369
804600	"1995-11-07"	3	7.5	7.74145525351369
804600	"1995-11-07"	4	7.5	7.74145525351369
804600	"1995-11-07"	5	7.5	7.74145525351369
804600	"1995-11-07"	6	7.5	7.74145525351369
804600	"1995-11-07"	7	7.5	7.74145525351369
804600	"1995-11-07"	8	7.5	7.74145525351369
804600	"1995-11-07"	9	7.5	7.74145525351369
804600	"1995-11-07"	10	7.5	7.74145525351369
804600	"1995-11-07"	11	7.5	7.74145525351369
804600	"1995-11-07"	12	7.5	7.74145525351369
804600	"1995-11-07"	13	7.5	7.74145525351369
804600	"1995-11-07"	14	7.5	7.74145525351369
804600	"1995-11-07"	15	7.5	7.74145525351369
804600	"1995-11-07"	16	7.5	7.74145525351369
804600	"1995-11-07"	17	7.5	7.74145525351369
804600	"1995-11-22"	0	3.7	1.96047118361548
804600	"1995-11-22"	1	3.8	5.80109651573323
804600	"1995-11-22"	2	3.8	5.49886860576224
804600	"1995-11-22"	3	3.8	5.40863687617968
804600	"1995-11-22"	4	3.9	5.37678198518631
804600	"1995-11-22"	5	3.8	5.36592116113148
804600	"1995-11-22"	6	3.9	5.36233183945203
804600	"1995-11-22"	7	3.9	5.36116135135158
804600	"1995-11-22"	8	3.9	5.36078280917998
804600	"1995-11-22"	9	3.9	5.36066145081208
804600	"1995-11-22"	10	3.9	5.36062221692692
804600	"1995-11-22"	11	3.9	5.3606202300764
804600	"1995-11-22"	12	3.9	5.36061583101956
804600	"1995-11-22"	13	3.9	5.3606132728293
804600	"1995-11-22"	14	3.9	5.36061247806942
804600	"1995-11-22"	15	3.9	5.36061222045271
804600	"1995-11-22"	16	3.9	5.36061213817401
804600	"1995-11-22"	17	4	5.36061213178519
804600	"1996-02-06"	1	1.3	NA
804600	"1996-02-06"	4	1.7	NA
804600	"1996-02-06"	8	2.5	NA
804600	"1996-02-06"	10	2.8	NA
804600	"1996-02-06"	12	2.8	NA
804600	"1996-02-06"	14	2.9	NA
804600	"1996-02-06"	16	3.2	NA
804600	"1996-02-06"	18	3.4	NA
804600	"1996-02-06"	20	3.7	NA
804600	"1996-04-03"	0	3.9	4.82784979443799
804600	"1996-04-03"	1	3.9	4.82784979443799
804600	"1996-04-03"	2	3.9	4.82784979443799
804600	"1996-04-03"	3	3.9	4.82784979443799
804600	"1996-04-03"	4	3.9	4.82784979443799
804600	"1996-04-03"	5	3.9	4.82784979443799
804600	"1996-04-03"	6	3.9	4.82784979443799
804600	"1996-04-03"	7	3.9	4.82784979443799
804600	"1996-04-03"	8	3.9	4.82784979443799
804600	"1996-04-03"	9	3.9	4.82784979443799
804600	"1996-04-03"	10	3.9	4.82784979443799
804600	"1996-04-03"	11	3.9	4.82784979443799
804600	"1996-04-03"	12	3.9	4.82784979443799
804600	"1996-04-03"	13	3.9	4.82784979443799
804600	"1996-04-03"	14	3.9	4.82784979443799
804600	"1996-04-03"	15	3.9	4.82784979443799
804600	"1996-04-03"	16	3.9	4.82784979443799
804600	"1996-04-03"	17	3.9	4.82784979443799
804600	"1996-04-03"	18	3.9	4.82784979443799
804600	"1996-04-03"	19	3.9	4.82784979443799
804600	"1996-04-03"	20	3.9	4.82784979443799
804600	"1996-04-03"	21	3.9	4.82784979443799
804600	"1996-04-16"	0	5.6	6.0198379765277
804600	"1996-04-16"	1	5.6	6.0198379765277
804600	"1996-04-16"	2	5.6	6.0198379765277
804600	"1996-04-16"	3	5.5	6.0198379765277
804600	"1996-04-16"	4	5.5	6.0198379765277
804600	"1996-04-16"	5	5.5	6.0198379765277
804600	"1996-04-16"	6	5.5	6.0198379765277
804600	"1996-04-16"	7	5.5	6.0198379765277
804600	"1996-04-16"	8	5.5	6.0198379765277
804600	"1996-04-16"	9	5.5	6.0198379765277
804600	"1996-04-16"	10	5.5	6.0198379765277
804600	"1996-04-16"	11	5.5	6.0198379765277
804600	"1996-04-16"	12	5.5	6.0198379765277
804600	"1996-04-16"	13	5.5	6.0198379765277
804600	"1996-04-16"	14	5.5	6.0198379765277
804600	"1996-04-16"	15	5.5	6.0198379765277
804600	"1996-04-16"	16	5.5	6.0198379765277
804600	"1996-04-16"	17	5.5	6.0198379765277
804600	"1996-04-16"	18	5.5	6.0198379765277
804600	"1996-04-16"	19	5.5	6.0198379765277
804600	"1996-04-16"	20	5.5	6.0198379765277
804600	"1996-05-01"	0	8.6	8.55888888252718
804600	"1996-05-01"	1	8.6	8.55888888252718
804600	"1996-05-01"	2	8.6	8.55888888252718
804600	"1996-05-01"	3	8.6	8.55888888252718
804600	"1996-05-01"	4	8.6	8.55888888252718
804600	"1996-05-01"	5	8.6	8.55888888252718
804600	"1996-05-01"	6	8.6	8.55888888252718
804600	"1996-05-01"	7	8.6	8.55888888252718
804600	"1996-05-01"	8	8.6	8.55888888252718
804600	"1996-05-01"	9	8.6	8.55888888252718
804600	"1996-05-01"	10	8.6	8.55888888252718
804600	"1996-05-01"	11	8.6	8.55888888252718
804600	"1996-05-01"	12	8.5	8.55888888252718
804600	"1996-05-01"	13	8.5	8.55888888252718
804600	"1996-05-01"	14	8.5	8.55888888252718
804600	"1996-05-01"	15	8.5	8.55888888252718
804600	"1996-05-01"	16	8.5	8.55888888252718
804600	"1996-05-01"	17	8.5	8.55888888252718
804600	"1996-05-01"	18	8.5	8.55888888252718
804600	"1996-05-01"	19	8.5	8.55888888252718
804600	"1996-05-01"	20	8.4	8.55888888252718
804600	"1996-05-01"	21	8.4	8.55888888252718
804600	"1996-05-14"	0	10.7	10.9723082110999
804600	"1996-05-14"	1	10.7	10.9723082108352
804600	"1996-05-14"	2	10.7	10.9723082073621
804600	"1996-05-14"	3	10.7	10.9723063812343
804600	"1996-05-14"	4	10.7	10.9723046446211
804600	"1996-05-14"	5	10.7	10.9700689597847
804600	"1996-05-14"	6	10.7	10.9690447340122
804600	"1996-05-14"	7	10.6	10.8548038547349
804600	"1996-05-14"	8	10.5	9.61280116568725
804600	"1996-05-14"	9	10.4	9.6004732717331
804600	"1996-05-14"	10	9.9	9.06720923437573
804600	"1996-05-14"	11	9.8	8.84578992400703
804600	"1996-05-14"	12	9.8	8.78270878918121
804600	"1996-05-14"	13	9.8	8.76058470794378
804600	"1996-05-14"	14	9.7	8.7533812737513
804600	"1996-05-14"	15	9.5	8.75166815781871
804600	"1996-05-14"	16	9.5	8.75145269395403
804600	"1996-05-14"	17	9.4	8.75144809321168
804600	"1996-05-14"	18	9.4	8.75144721770858
804600	"1996-05-29"	0	13.3	13.0353951337465
804600	"1996-05-29"	1	13.3	13.0353951312461
804600	"1996-05-29"	2	13.1	13.0353951151192
804600	"1996-05-29"	3	13	13.0353861433993
804600	"1996-05-29"	4	13	13.0350311786844
804600	"1996-05-29"	5	13	13.0344844652615
804600	"1996-05-29"	6	13	13.014335978017
