WBIC	YYYY	ice.off.DoY	ice.on.DoY
10000	1979	87.922158	346.658831385996
10000	1980	85.572682	344.633437705996
10000	1981	76.314944	344.302131065996
10000	1982	93.096043	360.131165825996
10000	1983	88.560306	343.478752305996
10000	1984	88.83511	346.733206345996
10000	1985	78.205492	335.745671705996
10000	1986	79.771527	334.264567505996
10000	1987	71.62794	356.153246265996
10000	1988	77.780491	344.592869545996
10000	1989	79.445944	334.888486145996
10000	1990	70.6433	351.115300345996
10000	1991	74.875433	343.448326185996
10000	1992	64.938799	348.937776065996
10000	1993	79.4101	353.509188145996
10000	1994	78.411595	346.523604185996
10000	1995	72.206348	329.362989585996
10000	1996	87.388555	333.792779465996
10000	1997	80.6535390000001	357.392448665996
10000	1998	77.099455	360.131165825996
10000	1999	78.674451	351.182913945996
10000	2000	60.378096	336.168256705996
10000	2001	79.994482	362.920593185996
10000	2002	82.848761	337.564843905996
10000	2003	77.991498	351.166010545996
10000	2004	71.1003110000001	352.432258385996
10000	2005	79.305555	336.514959585996
10000	2006	75.095401	398.602446345996
10000	2007	74.735044	339.495578545996
10000	2008	83.3655120000001	336.964590025996
10000	2009	75.41394	351.017260625996
10000	2010	69.799049	342.263214665996
10000	2011	74.040143	362.947638625996
100000	1979	99.20774416	338.25500730081
100000	1980	93.24038716	336.280323820809
100000	1981	86.4456311600001	338.04540514081
100000	1982	101.85890716	340.33787254081
100000	1983	98.46206416	335.14254182081
100000	1984	95.91843316	341.63116582081
100000	1985	92.32935216	326.758497140809
100000	1986	89.29393616	327.73062582081
100000	1987	90.22779716	348.84663602081
100000	1988	91.16763216	337.26597522081
100000	1989	95.03129416	327.54806910081
100000	1990	94.6082101600001	343.79854806081
100000	1991	87.57962116	336.12143186081
100000	1992	97.93742216	342.76894782081
100000	1993	92.93165616	346.199197220809
100000	1994	93.89538716	340.31420778081
100000	1995	88.19088616	322.67353662081
100000	1996	104.54698416	328.02474498081
100000	1997	97.78102816	350.08583842081
100000	1998	89.84247416	351.46364870081
100000	1999	86.86978516	343.866161660809
100000	2000	73.41491116	330.53883010081
100000	2001	90.85890116	354.19898518081
100000	2002	95.21350116	329.35033790081
100000	2003	92.07951416	347.549962060809
100000	2004	83.25894816	346.34456646081
100000	2005	89.49000816	331.898229820809
100000	2006	87.15845416	387.47192066081
100000	2007	83.57151316	333.10362542081
100000	2008	90.98542516	333.23209126081
100000	2009	89.44520316	343.70050834081
100000	2010	76.1157831600001	335.95239786081
100000	2011	89.35666316	350.14330998081
1000000	1979	124.77286224	318.370219319042
1000000	1980	118.69989024	319.095558359042
1000000	1981	109.97767224	325.747554079042
1000000	1982	118.15326924	320.182996519042
1000000	1983	118.40417724	324.034690119042
1000000	1984	118.65807224	320.089844639042
1000000	1985	109.24991424	319.926064839042
1000000	1986	107.51767724	318.059196759042
1000000	1987	104.52109224	325.367044399042
1000000	1988	107.41121524	325.552981799042
1000000	1989	111.27786424	320.462085799042
1000000	1990	111.54968124	325.876019919042
1000000	1991	102.54989524	319.795725479042
1000000	1992	112.09032824	321.124699079042
1000000	1993	109.86117924	319.315668919042
1000000	1994	108.78202524	328.946410079042
1000000	1995	104.44343024	316.014659799042
1000000	1996	122.44023824	319.489590759042
1000000	1997	114.04850724	316.336190759042
1000000	1998	104.77989124	343.731181079042
1000000	1999	104.41953424	337.283125239042
1000000	2000	89.86161024	325.505652279042
1000000	2001	106.43745324	343.643283399042
1000000	2002	110.08221724	317.000677559042
1000000	2003	105.68089524	322.624580199042
1000000	2004	107.27082624	332.618561279042
1000000	2005	105.08050824	325.612326879042
1000000	2006	107.33547024	328.075701799042
1000000	2007	101.12723624	323.885940199042
1000000	2008	110.57805924	326.888716759042
1000000	2009	106.34784324	333.090349319042
1000000	2010	95.70841724	325.052641159042
1000000	2011	104.30005424	328.231213079042
1000100	1979	113.83507036	327.006338416607
1000100	1980	111.99828836	324.814925056607
1000100	1981	100.56922436	330.071840736607
1000100	1982	114.98591236	324.348391216607
1000100	1983	113.80520036	328.294743856607
1000100	1984	110.57861636	323.698934296607
1000100	1985	102.44483736	323.528393136607
1000100	1986	102.73158936	322.163739216607
1000100	1987	94.75527436	329.664285616607
1000100	1988	103.94025436	324.194387096607
1000100	1989	108.32258436	324.064414096607
1000100	1990	100.14315336	329.458064136607
1000100	1991	100.42691836	323.401434456607
1000100	1992	109.82397536	324.727027376607
1000100	1993	106.93875636	322.924758576607
1000100	1994	104.59525436	332.518312256607
1000100	1995	99.11776536	319.229717056607
1000100	1996	117.62022336	322.593085576607
1000100	1997	108.25089636	320.403545736607
1000100	1998	102.62405736	348.420581176607
1000100	1999	100.36419136	340.824601296607
1000100	2000	87.71175036	329.091077176607
1000100	2001	104.90184536	348.336064176607
1000100	2002	108.50777836	323.646716936607
1000100	2003	103.51908736	325.609751216607
1000100	2004	103.15873036	336.176940736607
1000100	2005	103.55684836	328.472412736607
1000100	2006	105.79388836	330.871554736607
1000100	2007	99.01620736	327.478126456607
1000100	2008	109.00660736	329.742041256607
1000100	2009	104.15915236	336.645348096607
1000100	2010	93.61232336	328.638066056607
1000100	2011	103.43843836	331.806495936607
1000400	1979	126.59000952	317.421336807995
1000400	1980	121.21193852	317.661365087995
1000400	1981	111.66339152	324.791910207994
1000400	1982	119.90470252	319.230733327994
1000400	1983	119.39499552	323.079046247994
1000400	1984	119.64889052	318.621844567994
1000400	1985	110.25268052	318.973801647994
1000400	1986	109.18846152	317.110314247994
1000400	1987	105.52983252	324.411400527994
1000400	1988	109.07602552	319.100393967994
